thread;iterazione;durata 
1;1;1.16833e+08 
1;2;1.17133e+08 
1;3;1.17349e+08 
1;4;1.16872e+08 
1;5;1.17114e+08 
2;1;2.25646e+08 
2;2;2.25743e+08 
2;3;2.26011e+08 
2;4;2.24751e+08 
2;5;2.26646e+08 
3;1;3.26253e+08 
3;2;3.26303e+08 
3;3;3.24586e+08 
3;4;3.25493e+08 
3;5;3.25291e+08 
4;1;3.81439e+08 
4;2;3.91041e+08 
4;3;3.93831e+08 
4;4;3.89516e+08 
4;5;3.87286e+08 
5;1;4.35094e+08 
5;2;4.37636e+08 
5;3;4.33475e+08 
5;4;4.31247e+08 
5;5;4.35727e+08 
6;1;4.69267e+08 
6;2;4.69372e+08 
6;3;4.73398e+08 
6;4;4.50419e+08 
6;5;4.76517e+08 
7;1;4.92058e+08 
7;2;4.91366e+08 
7;3;4.88733e+08 
7;4;4.90218e+08 
7;5;4.86127e+08 
8;1;4.8737e+08 
8;2;4.73184e+08 
8;3;5.07662e+08 
8;4;5.10132e+08 
8;5;5.13002e+08 
9;1;5.24288e+08 
9;2;5.16794e+08 
9;3;5.21939e+08 
9;4;5.24944e+08 
9;5;5.21939e+08 
10;1;5.35534e+08 
10;2;5.34715e+08 
10;3;5.30925e+08 
10;4;5.32137e+08 
10;5;5.33491e+08 
11;1;5.38007e+08 
11;2;5.35945e+08 
11;3;5.37318e+08 
11;4;5.39807e+08 
11;5;5.43726e+08 
12;1;5.48562e+08 
12;2;5.47131e+08 
12;3;5.38145e+08 
12;4;5.44008e+08 
12;5;5.45991e+08 
13;1;5.40921e+08 
13;2;5.44291e+08 
13;3;5.56126e+08 
13;4;5.55979e+08 
13;5;5.53046e+08 
14;1;5.47845e+08 
14;2;5.34988e+08 
14;3;5.27055e+08 
14;4;5.09512e+08 
14;5;5.09388e+08 
15;1;5.16159e+08 
15;2;5.15271e+08 
15;3;5.21032e+08 
15;4;5.36082e+08 
15;5;5.04487e+08 
16;1;5.38975e+08 
16;2;5.4514e+08 
16;3;5.4134e+08 
16;4;5.40364e+08 
16;5;5.36219e+08 
