thread;iterazione;durata 
1;1;2.90344e+08 
1;2;2.90786e+08 
1;3;2.90907e+08 
1;4;2.90948e+08 
1;5;2.90505e+08 
2;1;5.25866e+08 
2;2;5.17432e+08 
2;3;5.22199e+08 
2;4;5.15271e+08 
2;5;5.18584e+08 
3;1;6.31863e+08 
3;2;6.38208e+08 
3;3;6.42707e+08 
3;4;6.28078e+08 
3;5;6.2789e+08 
4;1;7.03979e+08 
4;2;7.27672e+08 
4;3;7.15996e+08 
4;4;7.0778e+08 
4;5;7.05637e+08 
5;1;7.6988e+08 
5;2;7.64547e+08 
5;3;7.68188e+08 
5;4;7.79031e+08 
5;5;7.59562e+08 
6;1;8.23381e+08 
6;2;8.49737e+08 
6;3;8.55282e+08 
6;4;8.28914e+08 
6;5;8.62671e+08 
7;1;9.03555e+08 
7;2;8.99679e+08 
7;3;9.33728e+08 
7;4;9.46368e+08 
7;5;9.54987e+08 
8;1;9.58917e+08 
8;2;9.2142e+08 
8;3;9.03166e+08 
8;4;9.09039e+08 
8;5;9.60234e+08 
9;1;9.09039e+08 
9;2;8.63381e+08 
9;3;9.20207e+08 
9;4;8.99293e+08 
9;5;9.49367e+08 
10;1;8.97369e+08 
10;2;8.24676e+08 
10;3;9.03945e+08 
10;4;9.85041e+08 
10;5;1.05385e+09 
11;1;1.07657e+09 
11;2;1.1379e+09 
11;3;1.06508e+09 
11;4;1.06346e+09 
11;5;1.07162e+09 
12;1;1.06077e+09 
12;2;1.07823e+09 
12;3;1.06239e+09 
12;4;1.08943e+09 
12;5;9.85504e+08 
