thread;iterazione;durata 
1;1;3.76373e+08 
1;2;3.77797e+08 
1;3;3.76238e+08 
1;4;3.78411e+08 
1;5;3.7807e+08 
2;1;6.54542e+08 
2;2;6.53115e+08 
2;3;6.64497e+08 
2;4;6.80894e+08 
2;5;6.7847e+08 
3;1;7.63712e+08 
3;2;7.50591e+08 
3;3;7.63712e+08 
3;4;7.39475e+08 
3;5;7.33014e+08 
4;1;8.50427e+08 
4;2;8.55282e+08 
4;3;8.49393e+08 
4;4;8.67309e+08 
4;5;8.76736e+08 
5;1;9.48508e+08 
5;2;9.44663e+08 
5;3;9.16988e+08 
5;4;9.47651e+08 
5;5;9.4808e+08 
6;1;1.02953e+09 
6;2;1.00103e+09 
6;3;9.85967e+08 
6;4;1.02101e+09 
6;5;1.02802e+09 
7;1;1.05226e+09 
7;2;1.0225e+09 
7;3;1.06563e+09 
7;4;1.0341e+09 
7;5;1.07162e+09 
8;1;1.09056e+09 
8;2;1.12327e+09 
8;3;1.07934e+09 
8;4;1.10376e+09 
8;5;1.11314e+09 
9;1;1.18016e+09 
9;2;1.14598e+09 
9;3;1.16573e+09 
9;4;1.15039e+09 
9;5;1.15801e+09 
10;1;1.18617e+09 
10;2;1.18617e+09 
10;3;1.17751e+09 
10;4;1.19021e+09 
10;5;1.18886e+09 
11;1;1.16186e+09 
11;2;1.15355e+09 
11;3;1.21504e+09 
11;4;1.20181e+09 
11;5;1.20665e+09 
12;1;1.18016e+09 
12;2;1.16703e+09 
12;3;1.17818e+09 
12;4;1.23945e+09 
12;5;1.22426e+09 
