thread;iterazione;durata 
1;1;1.76841e+08 
1;2;1.78481e+08 
1;3;1.79535e+08 
1;4;1.78755e+08 
1;5;1.78816e+08 
2;1;3.36406e+08 
2;2;3.38141e+08 
2;3;3.38906e+08 
2;4;3.24135e+08 
2;5;3.36892e+08 
3;1;3.85719e+08 
3;2;3.97263e+08 
3;3;3.8995e+08 
3;4;3.84446e+08 
3;5;3.96662e+08 
4;1;4.55309e+08 
4;2;4.44406e+08 
4;3;4.58795e+08 
4;4;4.52362e+08 
4;5;4.49743e+08 
5;1;4.77711e+08 
5;2;5.05947e+08 
5;3;4.99441e+08 
5;4;5.01351e+08 
5;5;5.00753e+08 
6;1;5.53046e+08 
6;2;5.4656e+08 
6;3;5.4148e+08 
6;4;5.37043e+08 
6;5;5.22459e+08 
7;1;5.33491e+08 
7;2;5.6239e+08 
7;3;5.6588e+08 
7;4;5.52027e+08 
7;5;5.66339e+08 
8;1;5.69878e+08 
8;2;5.73776e+08 
8;3;5.76141e+08 
8;4;5.8238e+08 
8;5;5.76933e+08 
9;1;5.90747e+08 
9;2;5.83028e+08 
9;3;5.98673e+08 
9;4;5.9782e+08 
9;5;6.1428e+08 
10;1;6.00903e+08 
10;2;6.0699e+08 
10;3;6.01593e+08 
10;4;5.97139e+08 
10;5;5.77569e+08 
11;1;6.04192e+08 
11;2;6.13382e+08 
11;3;6.00043e+08 
11;4;5.92416e+08 
11;5;5.53484e+08 
12;1;5.52755e+08 
12;2;5.54216e+08 
12;3;5.56126e+08 
12;4;5.63751e+08 
12;5;5.79484e+08 
