thread;iterazione;durata 
1;1;5179 
1;2;5148 
1;3;5108 
1;4;5170 
1;5;5144 
1;6;5188 
1;7;5173 
1;8;5211 
1;9;5206 
1;10;5155 
2;1;2927 
2;2;2895 
2;3;2923 
2;4;2930 
2;5;2950 
2;6;2907 
2;7;2953 
2;8;2962 
2;9;2931 
2;10;2962 
3;1;2181 
3;2;2159 
3;3;2203 
3;4;2230 
3;5;2286 
3;6;2264 
3;7;2272 
3;8;2255 
3;9;2243 
3;10;2215 
4;1;1919 
4;2;1901 
4;3;1987 
4;4;2017 
4;5;2046 
4;6;2016 
4;7;2082 
4;8;2069 
4;9;2045 
4;10;2013 
5;1;1900 
5;2;1923 
5;3;1841 
5;4;1917 
5;5;1925 
5;6;1956 
5;7;1856 
5;8;1872 
5;9;1918 
5;10;1916 
6;1;1828 
6;2;1788 
6;3;1779 
6;4;1839 
6;5;1846 
6;6;1787 
6;7;1811 
6;8;1775 
6;9;1781 
6;10;1792 
7;1;1730 
7;2;1704 
7;3;1709 
7;4;1758 
7;5;1754 
7;6;1739 
7;7;1733 
7;8;1741 
7;9;1725 
7;10;1728 
8;1;1847 
8;2;1839 
8;3;1751 
8;4;1805 
8;5;1790 
8;6;1779 
8;7;1808 
8;8;1803 
8;9;1838 
8;10;1789 
9;1;1775 
9;2;1752 
9;3;1789 
9;4;1796 
9;5;1761 
9;6;1769 
9;7;1755 
9;8;1810 
9;9;1691 
9;10;1763 
10;1;1784 
10;2;1746 
10;3;1788 
10;4;1728 
10;5;1717 
10;6;1686 
10;7;1729 
10;8;1748 
10;9;1717 
10;10;1760 
11;1;1740 
11;2;1722 
11;3;1713 
11;4;1726 
11;5;1710 
11;6;1738 
11;7;1732 
11;8;1742 
11;9;1680 
11;10;1727 
12;1;1713 
12;2;1709 
12;3;1672 
12;4;1700 
12;5;1660 
12;6;1723 
12;7;1708 
12;8;1682 
12;9;1719 
12;10;1733 
13;1;1707 
13;2;1728 
13;3;1703 
13;4;1694 
13;5;1694 
13;6;1755 
13;7;1729 
13;8;1664 
13;9;1713 
13;10;1658 
14;1;1686 
14;2;1655 
14;3;1720 
14;4;1662 
14;5;1666 
14;6;1702 
14;7;1660 
14;8;1719 
14;9;1683 
14;10;1677 
15;1;1697 
15;2;1639 
15;3;1642 
15;4;1698 
15;5;1676 
15;6;1731 
15;7;1675 
15;8;1678 
15;9;1688 
15;10;1698 
16;1;1691 
16;2;1716 
16;3;1725 
16;4;1768 
16;5;1698 
16;6;1719 
16;7;1724 
16;8;1695 
16;9;1714 
16;10;1705 
