thread;iterazione;durata 
1;1;4.45066e+08 
1;2;4.45161e+08 
1;3;4.47727e+08 
1;4;4.47727e+08 
1;5;4.45539e+08 
2;1;8.89e+08 
2;2;8.97369e+08 
2;3;9.03166e+08 
2;4;8.85622e+08 
2;5;8.99293e+08 
3;1;1.19156e+09 
3;2;1.17619e+09 
3;3;1.1729e+09 
3;4;1.16638e+09 
3;5;1.20457e+09 
4;1;1.52188e+09 
4;2;1.49157e+09 
4;3;1.4937e+09 
4;4;1.47583e+09 
4;5;1.48524e+09 
5;1;1.78481e+09 
5;2;1.80168e+09 
5;3;1.79091e+09 
5;4;1.71476e+09 
5;5;1.79397e+09 
6;1;2.04202e+09 
6;2;2.04202e+09 
6;3;1.94722e+09 
6;4;2.14872e+09 
6;5;2.06413e+09 
7;1;2.39675e+09 
7;2;2.3173e+09 
7;3;2.33796e+09 
7;4;2.34581e+09 
7;5;2.38042e+09 
8;1;2.50856e+09 
8;2;2.6084e+09 
8;3;2.6149e+09 
8;4;2.64792e+09 
8;5;2.58908e+09 
9;1;2.79248e+09 
9;2;2.88467e+09 
9;3;2.74856e+09 
9;4;2.72004e+09 
9;5;2.9249e+09 
10;1;3.14888e+09 
10;2;3.13945e+09 
10;3;3.0705e+09 
10;4;3.12076e+09 
10;5;3.10689e+09 
11;1;3.23635e+09 
11;2;3.37706e+09 
11;3;3.38797e+09 
11;4;3.2768e+09 
11;5;3.12076e+09 
12;1;3.51282e+09 
12;2;3.29223e+09 
12;3;3.47211e+09 
12;4;3.32354e+09 
12;5;3.26151e+09 
