thread;iterazione;durata 
1;1;7.07303e+08 
1;2;7.11623e+08 
1;3;7.14289e+08 
1;4;7.15996e+08 
1;5;7.12106e+08 
2;1;1.40843e+09 
2;2;1.4218e+09 
2;3;1.42761e+09 
2;4;1.39253e+09 
2;5;1.42373e+09 
3;1;1.90824e+09 
3;2;1.98594e+09 
3;3;1.95996e+09 
3;4;1.92047e+09 
3;5;1.97101e+09 
4;1;2.39675e+09 
4;2;2.51759e+09 
4;3;2.50556e+09 
4;4;2.44139e+09 
4;5;2.49661e+09 
5;1;2.97891e+09 
5;2;3.13945e+09 
5;3;3.04819e+09 
5;4;3.075e+09 
5;5;3.05262e+09 
6;1;3.59101e+09 
6;2;3.46065e+09 
6;3;3.57876e+09 
6;4;3.35544e+09 
6;5;3.54249e+09 
7;1;3.99458e+09 
7;2;4.096e+09 
7;3;4.12014e+09 
7;4;4.02524e+09 
7;5;4.04076e+09 
8;1;4.43373e+09 
8;2;4.53929e+09 
8;3;4.45255e+09 
8;4;4.35094e+09 
8;5;4.60913e+09 
9;1;4.79897e+09 
9;2;5.07785e+09 
9;3;4.99322e+09 
9;4;5.00514e+09 
9;5;4.99322e+09 
10;1;5.63751e+09 
10;2;5.17815e+09 
10;3;5.24288e+09 
10;4;5.46133e+09 
10;5;5.33626e+09 
11;1;5.47559e+09 
11;2;5.97479e+09 
11;3;5.30925e+09 
11;4;5.1654e+09 
11;5;5.95782e+09 
12;1;5.51882e+09 
12;2;5.95782e+09 
12;3;5.95782e+09 
12;4;5.07785e+09 
12;5;6.16809e+09 
