thread;iterazione;durata 
1;1;1.27875e+09 
1;2;1.28739e+09 
1;3;1.27409e+09 
1;4;1.27564e+09 
1;5;1.26793e+09 
2;1;2.52365e+09 
2;2;2.52365e+09 
2;3;2.51759e+09 
2;4;2.52974e+09 
2;5;2.52669e+09 
3;1;3.36082e+09 
3;2;3.15361e+09 
3;3;3.10689e+09 
3;4;3.23136e+09 
3;5;3.15361e+09 
4;1;3.97942e+09 
4;2;4.04856e+09 
4;3;3.86216e+09 
4;4;4.12825e+09 
4;5;4.03298e+09 
5;1;4.85452e+09 
5;2;4.78802e+09 
5;3;5.05338e+09 
5;4;4.74469e+09 
5;5;5.01711e+09 
6;1;4.62947e+09 
6;2;5.50434e+09 
6;3;5.44715e+09 
6;4;5.53338e+09 
6;5;5.48993e+09 
7;1;6.20459e+09 
7;2;5.84165e+09 
7;3;5.87438e+09 
7;4;6.13202e+09 
7;5;6.18629e+09 
8;1;6.92129e+09 
8;2;6.72164e+09 
8;3;6.94421e+09 
8;4;6.72164e+09 
8;5;7.03742e+09 
9;1;7.3327e+09 
9;2;6.94421e+09 
9;3;7.7961e+09 
9;4;7.59838e+09 
9;5;7.46317e+09 
10;1;7.68188e+09 
10;2;7.71012e+09 
10;3;7.23156e+09 
10;4;7.73857e+09 
10;5;8.4223e+09 
11;1;8.35519e+09 
11;2;7.62601e+09 
11;3;7.59838e+09 
11;4;8.84874e+09 
11;5;8.06597e+09 
12;1;8.2565e+09 
12;2;8.92405e+09 
12;3;9.53251e+09 
12;4;8.5598e+09 
12;5;8.84874e+09 
