thread;iterazione;durata 
1;1;6.85568e+08 
1;2;6.83334e+08 
1;3;6.83557e+08 
1;4;6.84896e+08 
1;5;6.8512e+08 
2;1;1.32396e+09 
2;2;1.35475e+09 
2;3;1.31979e+09 
2;4;1.34692e+09 
2;5;1.31401e+09 
3;1;1.61568e+09 
3;2;1.78329e+09 
3;3;1.73749e+09 
3;4;1.74763e+09 
3;5;1.68581e+09 
4;1;2.11406e+09 
4;2;2.12262e+09 
4;3;2.12909e+09 
4;4;2.16872e+09 
4;5;2.15979e+09 
5;1;2.44994e+09 
5;2;2.51759e+09 
5;3;2.55128e+09 
5;4;2.359e+09 
5;5;2.53585e+09 
6;1;2.89662e+09 
6;2;2.89662e+09 
6;3;2.84939e+09 
6;4;2.84167e+09 
6;5;2.88467e+09 
7;1;3.22143e+09 
7;2;3.21649e+09 
7;3;3.26151e+09 
7;4;3.18232e+09 
7;5;3.14888e+09 
8;1;3.57266e+09 
8;2;3.55449e+09 
8;3;3.46065e+09 
8;4;3.61578e+09 
8;5;3.67277e+09 
9;1;3.68568e+09 
9;2;3.71835e+09 
9;3;3.64089e+09 
9;4;3.86216e+09 
9;5;3.84094e+09 
10;1;4.18593e+09 
10;2;4.08006e+09 
10;3;4.13639e+09 
10;4;4.12014e+09 
10;5;4.02524e+09 
11;1;4.50033e+09 
11;2;4.44312e+09 
11;3;4.52949e+09 
11;4;4.56896e+09 
11;5;4.32402e+09 
12;1;4.41506e+09 
12;2;4.20271e+09 
12;3;4.73398e+09 
12;4;4.50033e+09 
12;5;4.38735e+09 
