thread;iterazione;durata 
1;1;4.00602e+08 
1;2;4.00526e+08 
1;3;4.01215e+08 
1;4;4.0183e+08 
1;5;4.01292e+08 
2;1;7.98003e+08 
2;2;8.00745e+08 
2;3;8.0197e+08 
2;4;7.977e+08 
2;5;7.92275e+08 
3;1;1.09914e+09 
3;2;1.07601e+09 
3;3;1.09741e+09 
3;4;1.08717e+09 
3;5;1.09626e+09 
4;1;1.37248e+09 
4;2;1.39717e+09 
4;3;1.37069e+09 
4;4;1.38609e+09 
4;5;1.38701e+09 
5;1;1.67104e+09 
5;2;1.66177e+09 
5;3;1.6487e+09 
5;4;1.66441e+09 
5;5;1.66177e+09 
6;1;1.95084e+09 
6;2;1.95996e+09 
6;3;1.92576e+09 
6;4;1.96363e+09 
6;5;1.9563e+09 
7;1;2.14433e+09 
7;2;2.21452e+09 
7;3;2.24775e+09 
7;4;2.18681e+09 
7;5;2.22864e+09 
8;1;2.46434e+09 
8;2;2.43007e+09 
8;3;2.47014e+09 
8;4;2.46145e+09 
8;5;2.43855e+09 
9;1;2.69557e+09 
9;2;2.69211e+09 
9;3;2.52062e+09 
9;4;2.73423e+09 
9;5;2.69211e+09 
10;1;2.92898e+09 
10;2;2.89262e+09 
10;3;2.87675e+09 
10;4;2.90867e+09 
10;5;2.89262e+09 
11;1;3.02183e+09 
11;2;3.06601e+09 
11;3;3.14416e+09 
11;4;3.04819e+09 
11;5;3.1727e+09 
12;1;3.30781e+09 
12;2;3.21157e+09 
12;3;3.32354e+09 
12;4;3.37163e+09 
12;5;3.2768e+09 
