thread;rep;throughput;target_string;file_size 
1;1;1.26069e+09;------------;4000 
1;2;1.25766e+09;------------;4000 
1;3;1.27758e+09;------------;4000 
1;4;1.27836e+09;------------;4000 
1;5;1.21504e+09;------------;4000 
1;6;1.23253e+09;------------;4000 
1;7;1.25842e+09;------------;4000 
1;8;1.27603e+09;------------;4000 
1;9;1.27564e+09;------------;4000 
1;10;1.20978e+09;------------;4000 
2;1;2.44423e+09;------------;4000 
2;2;2.54818e+09;------------;4000 
2;3;2.54818e+09;------------;4000 
2;4;2.56376e+09;------------;4000 
2;5;2.55906e+09;------------;4000 
2;6;2.5575e+09;------------;4000 
2;7;2.54046e+09;------------;4000 
2;8;2.50257e+09;------------;4000 
2;9;2.50108e+09;------------;4000 
2;10;2.43997e+09;------------;4000 
3;1;3.79575e+09;------------;4000 
3;2;3.76171e+09;------------;4000 
3;3;3.85152e+09;------------;4000 
3;4;3.76847e+09;------------;4000 
3;5;3.85152e+09;------------;4000 
3;6;3.73491e+09;------------;4000 
3;7;3.77525e+09;------------;4000 
3;8;3.6504e+09;------------;4000 
3;9;3.70522e+09;------------;4000 
3;10;3.77525e+09;------------;4000 
4;1;4.54421e+09;------------;4000 
4;2;4.77711e+09;------------;4000 
4;3;4.70213e+09;------------;4000 
4;4;4.718e+09;------------;4000 
4;5;4.79349e+09;------------;4000 
4;6;4.75545e+09;------------;4000 
4;7;4.78802e+09;------------;4000 
4;8;4.69162e+09;------------;4000 
4;9;4.79349e+09;------------;4000 
4;10;4.69162e+09;------------;4000 
5;1;5.60736e+09;------------;4000 
5;2;5.49712e+09;------------;4000 
5;3;5.51882e+09;------------;4000 
5;4;5.41201e+09;------------;4000 
5;5;5.52609e+09;------------;4000 
5;6;5.64509e+09;------------;4000 
5;7;5.26261e+09;------------;4000 
5;8;5.42601e+09;------------;4000 
5;9;5.46845e+09;------------;4000 
5;10;5.50434e+09;------------;4000 
6;1;6.223e+09;------------;4000 
6;2;6.20459e+09;------------;4000 
6;3;6.18629e+09;------------;4000 
6;4;5.72211e+09;------------;4000 
6;5;6.11415e+09;------------;4000 
6;6;6.141e+09;------------;4000 
6;7;6.23225e+09;------------;4000 
6;8;6.21378e+09;------------;4000 
6;9;6.24152e+09;------------;4000 
6;10;6.08752e+09;------------;4000 
7;1;6.57414e+09;------------;4000 
7;2;6.6052e+09;------------;4000 
7;3;6.45278e+09;------------;4000 
7;4;6.40352e+09;------------;4000 
7;5;6.51289e+09;------------;4000 
7;6;6.38402e+09;------------;4000 
7;7;6.42313e+09;------------;4000 
7;8;6.24152e+09;------------;4000 
7;9;6.2789e+09;------------;4000 
7;10;6.33581e+09;------------;4000 
8;1;6.39376e+09;------------;4000 
8;2;6.73243e+09;------------;4000 
8;3;6.72164e+09;------------;4000 
8;4;6.73243e+09;------------;4000 
8;5;6.71089e+09;------------;4000 
8;6;6.31672e+09;------------;4000 
8;7;6.5536e+09;------------;4000 
8;8;6.71089e+09;------------;4000 
8;9;6.71089e+09;------------;4000 
8;10;6.68948e+09;------------;4000 
9;1;6.23225e+09;------------;4000 
9;2;7.10899e+09;------------;4000 
9;3;6.99051e+09;------------;4000 
9;4;7.01389e+09;------------;4000 
9;5;6.92129e+09;------------;4000 
9;6;6.74325e+09;------------;4000 
9;7;7.04925e+09;------------;4000 
9;8;6.94421e+09;------------;4000 
9;9;7.03742e+09;------------;4000 
9;10;6.89853e+09;------------;4000 
10;1;6.93273e+09;------------;4000 
10;2;7.06112e+09;------------;4000 
10;3;7.06112e+09;------------;4000 
10;4;6.87591e+09;------------;4000 
10;5;7.01389e+09;------------;4000 
10;6;6.74325e+09;------------;4000 
10;7;7.10899e+09;------------;4000 
10;8;7.21911e+09;------------;4000 
10;9;6.84226e+09;------------;4000 
10;10;7.3199e+09;------------;4000 
11;1;6.62607e+09;------------;4000 
11;2;6.87591e+09;------------;4000 
11;3;6.90989e+09;------------;4000 
11;4;7.00218e+09;------------;4000 
11;5;6.85344e+09;------------;4000 
11;6;6.43298e+09;------------;4000 
11;7;6.94421e+09;------------;4000 
11;8;6.95573e+09;------------;4000 
11;9;7.28178e+09;------------;4000 
11;10;6.92129e+09;------------;4000 
12;1;7.02563e+09;------------;4000 
12;2;7.15752e+09;------------;4000 
12;3;7.23156e+09;------------;4000 
12;4;7.14532e+09;------------;4000 
12;5;6.66821e+09;------------;4000 
12;6;6.59482e+09;------------;4000 
12;7;7.12106e+09;------------;4000 
12;8;7.04925e+09;------------;4000 
12;9;6.90989e+09;------------;4000 
12;10;6.6052e+09;------------;4000 
13;1;6.77594e+09;------------;4000 
13;2;7.02563e+09;------------;4000 
13;3;7.14532e+09;------------;4000 
13;4;7.24405e+09;------------;4000 
13;5;6.90989e+09;------------;4000 
13;6;7.08497e+09;------------;4000 
13;7;7.12106e+09;------------;4000 
13;8;6.99051e+09;------------;4000 
13;9;7.00218e+09;------------;4000 
13;10;7.30715e+09;------------;4000 
14;1;6.99051e+09;------------;4000 
14;2;7.23156e+09;------------;4000 
14;3;6.8872e+09;------------;4000 
14;4;6.59482e+09;------------;4000 
14;5;6.97888e+09;------------;4000 
14;6;7.20671e+09;------------;4000 
14;7;7.26916e+09;------------;4000 
14;8;6.65763e+09;------------;4000 
14;9;6.92129e+09;------------;4000 
14;10;7.03742e+09;------------;4000 
15;1;7.15752e+09;------------;4000 
15;2;6.93273e+09;------------;4000 
15;3;7.28178e+09;------------;4000 
15;4;7.14532e+09;------------;4000 
15;5;7.13317e+09;------------;4000 
15;6;7.02563e+09;------------;4000 
15;7;7.16975e+09;------------;4000 
15;8;7.16975e+09;------------;4000 
15;9;7.16975e+09;------------;4000 
15;10;7.26916e+09;------------;4000 
16;1;7.25658e+09;------------;4000 
16;2;7.07303e+09;------------;4000 
16;3;7.41043e+09;------------;4000 
16;4;7.35843e+09;------------;4000 
16;5;7.20671e+09;------------;4000 
16;6;7.13317e+09;------------;4000 
16;7;7.08497e+09;------------;4000 
16;8;6.96728e+09;------------;4000 
16;9;7.10899e+09;------------;4000 
16;10;7.15752e+09;------------;4000 
1;1;1.20526e+09;------------;6000 
1;2;1.21998e+09;------------;6000 
1;3;1.2188e+09;------------;6000 
1;4;1.2264e+09;------------;6000 
1;5;1.21363e+09;------------;6000 
1;6;1.22378e+09;------------;6000 
1;7;1.21246e+09;------------;6000 
1;8;1.2134e+09;------------;6000 
1;9;1.21739e+09;------------;6000 
1;10;1.21316e+09;------------;6000 
2;1;2.34581e+09;------------;6000 
2;2;2.36254e+09;------------;6000 
2;3;2.36166e+09;------------;6000 
2;4;2.33796e+09;------------;6000 
2;5;2.33363e+09;------------;6000 
2;6;2.36877e+09;------------;6000 
