thread;iterazione;durata 
1;1;8.03814e+08 
1;2;8.05667e+08 
1;3;8.05667e+08 
1;4;8.0197e+08 
1;5;8.0197e+08 
2;1;1.59601e+09 
2;2;1.60088e+09 
2;3;1.58037e+09 
2;4;1.60578e+09 
2;5;1.58276e+09 
3;1;2.13995e+09 
3;2;2.14872e+09 
3;3;2.12048e+09 
3;4;2.14214e+09 
3;5;2.11406e+09 
4;1;2.63131e+09 
4;2;2.70252e+09 
4;3;2.67836e+09 
4;4;2.69904e+09 
4;5;2.69904e+09 
5;1;3.24637e+09 
5;2;3.18232e+09 
5;3;3.08405e+09 
5;4;3.19688e+09 
5;5;3.21649e+09 
6;1;3.65357e+09 
6;2;3.73159e+09 
6;3;3.67921e+09 
6;4;3.73824e+09 
6;5;3.53651e+09 
7;1;4.11206e+09 
7;2;4.2625e+09 
7;3;4.08802e+09 
7;4;4.16929e+09 
7;5;4.17759e+09 
8;1;4.65e+09 
8;2;4.7127e+09 
8;3;4.76625e+09 
8;4;4.73398e+09 
8;5;4.51972e+09 
9;1;5.09017e+09 
9;2;5.14008e+09 
9;3;4.91136e+09 
9;4;5.15271e+09 
9;5;4.60913e+09 
10;1;5.25602e+09 
10;2;5.56274e+09 
10;3;5.22981e+09 
10;4;5.32272e+09 
10;5;5.26923e+09 
11;1;4.92289e+09 
11;2;6.00903e+09 
11;3;5.77728e+09 
11;4;5.89088e+09 
11;5;5.56274e+09 
12;1;6.16809e+09 
12;2;6.2789e+09 
12;3;5.77728e+09 
12;4;5.97479e+09 
12;5;5.94094e+09 
