thread;iterazione;durata 
1;1;1.35826e+09 
1;2;1.36622e+09 
1;3;1.36533e+09 
1;4;1.34433e+09 
1;5;1.36179e+09 
2;1;2.73067e+09 
2;2;2.79248e+09 
2;3;2.66813e+09 
2;4;2.77401e+09 
2;5;2.75217e+09 
3;1;3.47786e+09 
3;2;3.60956e+09 
3;3;3.59717e+09 
3;4;3.55449e+09 
3;5;3.46637e+09 
4;1;4.2799e+09 
4;2;4.28865e+09 
4;3;4.36907e+09 
4;4;4.16929e+09 
4;5;4.35094e+09 
5;1;5.12751e+09 
5;2;5.19097e+09 
5;3;5.01711e+09 
5;4;5.15271e+09 
5;5;5.14008e+09 
6;1;5.43304e+09 
6;2;5.82542e+09 
6;3;5.82542e+09 
6;4;5.74562e+09 
6;5;6.00903e+09 
7;1;6.51289e+09 
7;2;6.41331e+09 
7;3;6.26016e+09 
7;4;5.94094e+09 
7;5;6.31672e+09 
8;1;7.46317e+09 
8;2;6.87591e+09 
8;3;7.06112e+09 
8;4;6.31672e+09 
8;5;7.15752e+09 
9;1;7.91378e+09 
9;2;7.71012e+09 
9;3;7.43671e+09 
9;4;8.22413e+09 
9;5;7.57095e+09 
10;1;7.82519e+09 
10;2;7.51667e+09 
10;3;7.25658e+09 
10;4;8.77469e+09 
10;5;8.09711e+09 
11;1;8.35519e+09 
11;2;8.06597e+09 
11;3;7.35843e+09 
11;4;7.20671e+09 
11;5;9.15787e+09 
12;1;9.00065e+09 
12;2;9.84578e+09 
12;3;9.98644e+09 
12;4;1.00825e+10 
12;5;1.01803e+10 
