thread;iterazione;durata 
1;1;6.32434e+08 
1;2;6.26577e+08 
1;3;6.28454e+08 
1;4;6.31102e+08 
1;5;6.30722e+08 
2;1;1.26107e+09 
2;2;1.26869e+09 
2;3;1.26107e+09 
2;4;1.27409e+09 
2;5;1.23945e+09 
3;1;1.6384e+09 
3;2;1.60455e+09 
3;3;1.62696e+09 
3;4;1.6384e+09 
3;5;1.62822e+09 
4;1;2.01456e+09 
4;2;1.98031e+09 
4;3;2.02428e+09 
4;4;2.0011e+09 
4;5;1.94001e+09 
5;1;2.31986e+09 
5;2;2.38042e+09 
5;3;2.29197e+09 
5;4;2.36166e+09 
5;5;2.35371e+09 
6;1;2.60516e+09 
6;2;2.75941e+09 
6;3;2.71652e+09 
6;4;2.75941e+09 
6;5;2.74496e+09 
7;1;3.07952e+09 
7;2;3.03057e+09 
7;3;2.97468e+09 
7;4;3.07952e+09 
7;5;3.06601e+09 
8;1;3.38797e+09 
8;2;3.26151e+09 
8;3;3.2514e+09 
8;4;3.31304e+09 
8;5;3.18232e+09 
9;1;3.61578e+09 
9;2;3.55449e+09 
9;3;3.53056e+09 
9;4;3.53651e+09 
9;5;3.61578e+09 
10;1;3.87644e+09 
10;2;3.94944e+09 
10;3;3.89082e+09 
10;4;3.69217e+09 
10;5;3.80608e+09 
11;1;4.16102e+09 
11;2;3.98698e+09 
11;3;4.13639e+09 
11;4;4.10402e+09 
11;5;3.92725e+09 
12;1;4.37819e+09 
12;2;4.31513e+09 
12;3;4.42437e+09 
12;4;4.34193e+09 
12;5;4.16102e+09 
