thread;iterazione;durata ;;5180,2
1;1;5235;5180,2;2923,3
1;2;5231;;2159,9
1;3;5192;;1897,2
1;4;5171;;1788,5
1;5;5177;;1755,9
1;6;5141;;1708,3
1;7;5173;;1742,5
1;8;5176;;1749,6
1;9;5176;;1793,9
1;10;5130;;1751,9
2;1;2903;2923,3;1740,2
2;2;2929;;1719,9
2;3;2961;;1696,3
2;4;2898;;1687,2
2;5;2914;;1699,9
2;6;2915;;
2;7;2925;;
2;8;2945;;
2;9;2917;;
2;10;2926;;
3;1;2170;2159,9;
3;2;2148;;
3;3;2182;;
3;4;2156;;
3;5;2147;;
3;6;2164;;
3;7;2142;;
3;8;2165;;
3;9;2160;;
3;10;2165;;
4;1;1928;1897,2;
4;2;1928;;
4;3;1908;;
4;4;1866;;
4;5;1906;;
4;6;1886;;
4;7;1896;;
4;8;1865;;
4;9;1889;;
4;10;1900;;
5;1;1798;1788,5;
5;2;1780;;
5;3;1806;;
5;4;1769;;
5;5;1787;;
5;6;1772;;
5;7;1783;;
5;8;1796;;
5;9;1820;;
5;10;1774;;
6;1;1731;1755,9;
6;2;1753;;
6;3;1760;;
6;4;1737;;
6;5;1767;;
6;6;1817;;
6;7;1768;;
6;8;1744;;
6;9;1714;;
6;10;1768;;
7;1;1709;1708,3;
7;2;1688;;
7;3;1694;;
7;4;1697;;
7;5;1745;;
7;6;1715;;
7;7;1708;;
7;8;1712;;
7;9;1700;;
7;10;1715;;
8;1;1764;1742,5;
8;2;1774;;
8;3;1737;;
8;4;1697;;
8;5;1738;;
8;6;1744;;
8;7;1743;;
8;8;1724;;
8;9;1744;;
8;10;1760;;
9;1;1709;1749,6;
9;2;1784;;
9;3;1778;;
9;4;1686;;
9;5;1828;;
9;6;1785;;
9;7;1779;;
9;8;1682;;
9;9;1698;;
9;10;1767;;
10;1;1797;1793,9;
10;2;1808;;
10;3;1812;;
10;4;1779;;
10;5;1826;;
10;6;1785;;
10;7;1796;;
10;8;1767;;
10;9;1770;;
10;10;1799;;
11;1;1779;1751,9;
11;2;1732;;
11;3;1733;;
11;4;1769;;
11;5;1759;;
11;6;1770;;
11;7;1730;;
11;8;1740;;
11;9;1759;;
11;10;1748;;
12;1;1714;1740,2;
12;2;1727;;
12;3;1738;;
12;4;1770;;
12;5;1778;;
12;6;1719;;
12;7;1733;;
12;8;1727;;
12;9;1725;;
12;10;1771;;
13;1;1722;1719,9;
13;2;1705;;
13;3;1715;;
13;4;1715;;
13;5;1739;;
13;6;1722;;
13;7;1718;;
13;8;1742;;
13;9;1721;;
13;10;1700;;
14;1;1692;1696,3;
14;2;1693;;
14;3;1690;;
14;4;1699;;
14;5;1666;;
14;6;1702;;
14;7;1721;;
14;8;1694;;
14;9;1707;;
14;10;1699;;
15;1;1709;1687,2;
15;2;1661;;
15;3;1669;;
15;4;1707;;
15;5;1676;;
15;6;1686;;
15;7;1718;;
15;8;1679;;
15;9;1692;;
15;10;1675;;
16;1;1720;1699,9;
16;2;1722;;
16;3;1682;;
16;4;1675;;
16;5;1690;;
16;6;1724;;
16;7;1688;;
16;8;1712;;
16;9;1694;;
16;10;1692;;
