thread;iterazione;durata 
1;1;5.91247e+08 
1;2;5.92751e+08 
1;3;5.91747e+08 
1;4;5.92081e+08 
1;5;5.93254e+08 
2;1;1.18416e+09 
2;2;1.18349e+09 
2;3;1.18149e+09 
2;4;1.18349e+09 
2;5;1.17751e+09 
3;1;1.76975e+09 
3;2;1.77274e+09 
3;3;1.76528e+09 
3;4;1.77424e+09 
3;5;1.76677e+09 
4;1;2.27951e+09 
4;2;2.28697e+09 
4;3;2.28947e+09 
4;4;2.29448e+09 
4;5;2.29197e+09 
5;1;2.63131e+09 
5;2;2.63131e+09 
5;3;2.68178e+09 
5;4;2.69557e+09 
5;5;2.56689e+09 
6;1;3.00022e+09 
6;2;2.98315e+09 
6;3;2.90063e+09 
6;4;3.04819e+09 
6;5;2.90867e+09 
7;1;3.24637e+09 
7;2;3.1775e+09 
7;3;3.2514e+09 
7;4;3.3026e+09 
7;5;3.36082e+09 
8;1;3.63458e+09 
8;2;3.60956e+09 
8;3;3.62202e+09 
8;4;3.64722e+09 
8;5;3.57876e+09 
9;1;3.43795e+09 
9;2;3.87644e+09 
9;3;3.813e+09 
9;4;3.91991e+09 
9;5;3.89082e+09 
10;1;3.98698e+09 
10;2;3.99458e+09 
10;3;4.12014e+09 
10;4;4.07214e+09 
10;5;4.12014e+09 
11;1;3.84799e+09 
11;2;4.39655e+09 
11;3;4.28865e+09 
11;4;4.18593e+09 
11;5;4.28865e+09 
12;1;4.30627e+09 
12;2;4.38735e+09 
12;3;4.35094e+09 
12;4;4.48109e+09 
12;5;4.38735e+09 
13;1;4.02524e+09 
13;2;4.68114e+09 
13;3;4.27119e+09 
13;4;4.82104e+09 
13;5;4.41506e+09 
14;1;4.59902e+09 
14;2;4.93448e+09 
14;3;4.92289e+09 
14;4;4.85452e+09 
14;5;4.52949e+09 
15;1;4.82104e+09 
15;2;4.54914e+09 
15;3;4.77711e+09 
15;4;4.63972e+09 
15;5;4.75545e+09 
16;1;4.59902e+09 
16;2;5.2825e+09 
16;3;5.14008e+09 
16;4;5.04123e+09 
16;5;4.94611e+09 
