thread;iterazione;durata 
1;1;7.85156e+08 
1;2;7.82519e+08 
1;3;7.89888e+08 
1;4;7.88403e+08 
1;5;7.86924e+08 
2;1;1.54089e+09 
2;2;1.53189e+09 
2;3;1.53638e+09 
2;4;1.52854e+09 
2;5;1.53189e+09 
3;1;2.23577e+09 
3;2;2.21921e+09 
3;3;2.24534e+09 
3;4;2.20058e+09 
3;5;2.23339e+09 
4;1;2.7095e+09 
4;2;2.68521e+09 
4;3;2.69211e+09 
4;4;2.67836e+09 
4;5;2.72004e+09 
5;1;3.09314e+09 
5;2;2.90867e+09 
5;3;3.05707e+09 
5;4;3.13945e+09 
5;5;3.16313e+09 
6;1;3.47211e+09 
6;2;3.51871e+09 
6;3;3.27169e+09 
6;4;3.46065e+09 
6;5;3.48364e+09 
7;1;3.84094e+09 
7;2;3.65995e+09 
7;3;3.79232e+09 
7;4;3.60956e+09 
7;5;3.72496e+09 
8;1;4.04076e+09 
8;2;4.03298e+09 
8;3;3.98698e+09 
8;4;3.95689e+09 
8;5;3.95689e+09 
9;1;4.10402e+09 
9;2;4.18593e+09 
9;3;4.12014e+09 
9;4;4.07214e+09 
9;5;4.00985e+09 
10;1;4.16102e+09 
10;2;4.12014e+09 
10;3;4.22813e+09 
10;4;4.08802e+09 
10;5;4.32402e+09 
11;1;4.23667e+09 
11;2;4.22813e+09 
11;3;4.33296e+09 
11;4;4.2799e+09 
11;5;4.35094e+09 
12;1;4.52949e+09 
12;2;4.54914e+09 
12;3;4.68114e+09 
12;4;4.51972e+09 
12;5;4.59902e+09 
13;1;4.72332e+09 
13;2;4.20271e+09 
13;3;4.67072e+09 
13;4;4.83215e+09 
13;5;4.72332e+09 
14;1;4.80998e+09 
14;2;4.72332e+09 
14;3;4.74469e+09 
14;4;4.86578e+09 
14;5;4.53929e+09 
15;1;4.86578e+09 
15;2;4.57893e+09 
15;3;4.61928e+09 
15;4;4.78802e+09 
15;5;5.01711e+09 
16;1;4.68114e+09 
16;2;4.79897e+09 
16;3;5.17815e+09 
16;4;4.61928e+09 
16;5;4.72332e+09 
