thread;iterazione;durata 
1;1;3.39016e+08 
1;2;3.41056e+08 
1;3;3.39455e+08 
1;4;3.40115e+08 
1;5;3.40613e+08 
2;1;6.77594e+08 
2;2;6.75629e+08 
2;3;6.7847e+08 
2;4;6.77375e+08 
2;5;6.7869e+08 
3;1;9.76782e+08 
3;2;9.91561e+08 
3;3;9.80436e+08 
3;4;9.87825e+08 
3;5;9.79978e+08 
4;1;1.21715e+09 
4;2;1.20457e+09 
4;3;1.21363e+09 
4;4;1.20043e+09 
4;5;1.21433e+09 
5;1;1.40466e+09 
5;2;1.43346e+09 
5;3;1.40843e+09 
5;4;1.42663e+09 
5;5;1.41795e+09 
6;1;1.58996e+09 
6;2;1.58037e+09 
6;3;1.56855e+09 
6;4;1.58635e+09 
6;5;1.58276e+09 
7;1;1.75641e+09 
7;2;1.74327e+09 
7;3;1.72747e+09 
7;4;1.75054e+09 
7;5;1.75054e+09 
8;1;1.93108e+09 
8;2;1.90304e+09 
8;3;1.93286e+09 
8;4;1.90132e+09 
8;5;1.90477e+09 
9;1;1.97472e+09 
9;2;2.05805e+09 
9;3;2.07024e+09 
9;4;1.98031e+09 
9;5;2.05805e+09 
10;1;2.15093e+09 
10;2;2.10557e+09 
10;3;2.13342e+09 
10;4;2.15313e+09 
10;5;2.14433e+09 
11;1;2.3173e+09 
11;2;2.29197e+09 
11;3;2.2623e+09 
11;4;2.32243e+09 
11;5;2.28199e+09 
12;1;2.39401e+09 
12;2;2.40224e+09 
12;3;2.41607e+09 
12;4;2.44423e+09 
12;5;2.40224e+09 
13;1;2.49364e+09 
13;2;2.42445e+09 
13;3;2.542e+09 
13;4;2.53279e+09 
13;5;2.51457e+09 
14;1;2.52669e+09 
14;2;2.63461e+09 
14;3;2.58588e+09 
14;4;2.66474e+09 
14;5;2.62801e+09 
15;1;2.7378e+09 
15;2;2.67836e+09 
15;3;2.72712e+09 
15;4;2.67836e+09 
15;5;2.74138e+09 
16;1;2.78137e+09 
16;2;2.86496e+09 
16;3;2.86888e+09 
16;4;2.91271e+09 
16;5;2.90063e+09 
