thread;iterazione;durata 
1;1;1.69398e+09 
1;2;1.71056e+09 
1;3;1.67772e+09 
1;4;1.70639e+09 
1;5;1.69672e+09 
2;1;3.39895e+09 
2;2;3.38797e+09 
2;3;3.41e+09 
2;4;3.41e+09 
2;5;3.36622e+09 
3;1;5.09017e+09 
3;2;5.09017e+09 
3;3;5.115e+09 
3;4;5.06558e+09 
3;5;5.09017e+09 
4;1;6.35501e+09 
4;2;6.61562e+09 
4;3;6.45278e+09 
4;4;6.41331e+09 
4;5;6.61562e+09 
5;1;7.71012e+09 
5;2;7.76723e+09 
5;3;7.68188e+09 
5;4;7.73857e+09 
5;5;7.73857e+09 
6;1;8.63026e+09 
6;2;8.52501e+09 
6;3;8.59489e+09 
6;4;8.4223e+09 
6;5;8.45626e+09 
7;1;8.81156e+09 
7;2;8.92405e+09 
7;3;8.96219e+09 
7;4;9.23856e+09 
7;5;8.92405e+09 
8;1;9.57604e+09 
8;2;9.70904e+09 
8;3;9.79978e+09 
8;4;9.70904e+09 
8;5;9.44663e+09 
9;1;9.70904e+09 
9;2;9.89223e+09 
9;3;9.79978e+09 
9;4;1.023e+10 
9;5;1.023e+10 
10;1;1.06454e+10 
10;2;1.04336e+10 
10;3;1.06998e+10 
10;4;1.05385e+10 
10;5;1.05385e+10 
11;1;1.07546e+10 
11;2;1.1275e+10 
11;3;1.03308e+10 
11;4;1.08661e+10 
11;5;1.1336e+10 
12;1;1.1275e+10 
12;2;1.1096e+10 
12;3;1.10376e+10 
12;4;1.05917e+10 
12;5;1.09799e+10 
13;1;1.09799e+10 
13;2;1.19837e+10 
13;3;1.14598e+10 
13;4;1.2264e+10 
13;5;1.1096e+10 
14;1;1.19837e+10 
14;2;1.19156e+10 
14;3;1.19837e+10 
14;4;1.14598e+10 
14;5;1.17159e+10 
15;1;1.1275e+10 
15;2;1.24092e+10 
15;3;1.32731e+10 
15;4;1.10376e+10 
15;5;1.19837e+10 
16;1;1.17159e+10 
16;2;1.29454e+10 
16;3;1.13976e+10 
16;4;9.98644e+09 
16;5;1.2264e+10 
