thread;iterazione;durata 
1;1;22810 
1;2;22876 
1;3;22647 
1;4;23094 
1;5;22970 
1;6;22840 
1;7;22693 
1;8;22684 
1;9;22552 
1;10;22700 
2;1;15481 
2;2;16365 
2;3;15826 
2;4;16091 
2;5;15689 
2;6;16361 
2;7;15827 
2;8;16065 
2;9;15781 
2;10;15665 
3;1;11523 
3;2;11401 
3;3;11705 
3;4;11501 
3;5;12301 
3;6;11814 
3;7;11696 
3;8;11560 
3;9;11391 
3;10;11442 
4;1;9781 
4;2;9963 
4;3;10475 
4;4;10130 
4;5;10692 
4;6;10042 
4;7;9953 
4;8;10834 
4;9;9810 
4;10;9648 
5;1;8782 
5;2;9100 
5;3;8855 
5;4;9080 
5;5;8528 
5;6;8635 
5;7;9028 
5;8;8900 
5;9;9816 
5;10;8583 
6;1;8376 
6;2;8656 
6;3;7852 
6;4;7760 
6;5;8010 
6;6;7794 
6;7;7770 
6;8;7703 
6;9;7673 
6;10;7844 
7;1;7437 
7;2;7686 
7;3;7898 
7;4;7972 
7;5;7676 
7;6;7299 
7;7;7302 
7;8;7482 
7;9;7504 
7;10;7329 
8;1;7169 
8;2;7347 
8;3;7321 
8;4;7009 
8;5;7100 
8;6;7375 
8;7;8000 
8;8;7858 
8;9;7625 
8;10;7145 
9;1;6812 
9;2;7054 
9;3;6967 
9;4;7016 
9;5;6945 
9;6;6847 
9;7;6849 
9;8;7561 
9;9;6997 
9;10;7424 
10;1;7258 
10;2;7330 
10;3;7559 
10;4;7308 
10;5;6714 
10;6;6831 
10;7;6826 
10;8;7152 
10;9;6793 
10;10;7178 
11;1;6871 
11;2;7000 
11;3;6734 
11;4;6692 
11;5;7980 
11;6;7222 
11;7;7063 
11;8;6790 
11;9;7487 
11;10;9523 
12;1;7538 
12;2;6954 
12;3;7112 
12;4;6999 
12;5;6662 
12;6;6746 
12;7;6793 
12;8;7098 
12;9;7054 
12;10;6908 
13;1;7714 
13;2;7010 
13;3;7577 
13;4;7109 
13;5;6640 
13;6;6648 
13;7;6844 
13;8;7196 
13;9;6756 
13;10;7247 
14;1;7889 
14;2;7344 
14;3;7345 
14;4;7489 
14;5;7796 
14;6;7540 
14;7;6764 
14;8;6558 
14;9;6341 
14;10;6300 
15;1;6294 
15;2;6251 
15;3;6404 
15;4;6599 
15;5;6699 
15;6;7201 
15;7;8076 
15;8;6970 
15;9;6301 
15;10;6287 
16;1;6555 
16;2;6388 
16;3;6393 
16;4;7079 
16;5;6840 
16;6;6476 
16;7;6512 
16;8;6445 
16;9;6673 
16;10;6782 
