thread;iterazione;durata ;;;;4547,7;1
1;1;4982;4547,7;;4547,7;3269,9;2
1;2;5005;;;;2150,2;3
1;3;5003;;;;1772,2;4
1;4;4986;;;;1699,4;5
1;5;4993;;;;1808,9;6
1;6;5023;;;;1220,7;7
1;7;5021;;;;1733,8;8
1;8;4994;;;;1589,6;9
1;9;4972;;;;1722,8;10
1;10;498;;;;1733,5;11
2;1;2822;3269,9;;3269,9;1543,1;12
2;2;2843;;;;1684,1;13
2;3;2831;;;;1692,7;14
2;4;2836;;;;1533,4;15
2;5;2887;;;;1686,5;16
2;6;3824;;;;;
2;7;3728;;;;;
2;8;3546;;;;;
2;9;3645;;;;;
2;10;3737;;;;;
3;1;2144;2150,2;;2150,2;;
3;2;2139;;;;;
3;3;2214;;;;;
3;4;2179;;;;;
3;5;2176;;;;;
3;6;2157;;;;;
3;7;2127;;;;;
3;8;2113;;;;;
3;9;2125;;;;;
3;10;2128;;;;;
4;1;1861;1772,2;;1772,2;;
4;2;1859;;;;;
4;3;1944;;;;;
4;4;2074;;;;;
4;5;2014;;;;;
4;6;1931;;;;;
4;7;1992;;;;;
4;8;1906;;;;;
4;9;192;;;;;
4;10;1949;;;;;
5;1;1967;1699,4;;1699,4;;
5;2;1783;;;;;
5;3;1815;;;;;
5;4;1886;;;;;
5;5;1867;;;;;
5;6;187;;;;;
5;7;1888;;;;;
5;8;1849;;;;;
5;9;1833;;;;;
5;10;1919;;;;;
6;1;1842;1808,9;;1808,9;;
6;2;1839;;;;;
6;3;1872;;;;;
6;4;1771;;;;;
6;5;1761;;;;;
6;6;1761;;;;;
6;7;1865;;;;;
6;8;1842;;;;;
6;9;1742;;;;;
6;10;1794;;;;;
7;1;167;1220,7;;1220,7;;
7;2;1698;;;;;
7;3;169;;;;;
7;4;1655;;;;;
7;5;1677;;;;;
7;6;168;;;;;
7;7;1663;;;;;
7;8;1669;;;;;
7;9;1652;;;;;
7;10;1689;;;;;
8;1;1712;1733,8;;1733,8;;
8;2;1686;;;;;
8;3;1753;;;;;
8;4;1716;;;;;
8;5;1753;;;;;
8;6;1756;;;;;
8;7;1693;;;;;
8;8;1797;;;;;
8;9;1746;;;;;
8;10;1726;;;;;
9;1;1667;1589,6;;1589,6;;
9;2;1752;;;;;
9;3;174;;;;;
9;4;1673;;;;;
9;5;1797;;;;;
9;6;1789;;;;;
9;7;1786;;;;;
9;8;1769;;;;;
9;9;1742;;;;;
9;10;1747;;;;;
10;1;1738;1722,8;;1722,8;;
10;2;1743;;;;;
10;3;1665;;;;;
10;4;1715;;;;;
10;5;1755;;;;;
10;6;1756;;;;;
10;7;1735;;;;;
10;8;1668;;;;;
10;9;1725;;;;;
10;10;1728;;;;;
11;1;1722;1733,5;;1733,5;;
11;2;1735;;;;;
11;3;1742;;;;;
11;4;1765;;;;;
11;5;1721;;;;;
11;6;1738;;;;;
11;7;1726;;;;;
11;8;1743;;;;;
11;9;1727;;;;;
11;10;1716;;;;;
12;1;1709;1543,1;;1543,1;;
12;2;1645;;;;;
12;3;1679;;;;;
12;4;1727;;;;;
12;5;1699;;;;;
12;6;1689;;;;;
12;7;168;;;;;
12;8;1681;;;;;
12;9;1705;;;;;
12;10;1729;;;;;
13;1;1727;1684,1;;1684,1;;
13;2;1646;;;;;
13;3;1645;;;;;
13;4;1669;;;;;
13;5;1691;;;;;
13;6;1725;;;;;
13;7;1712;;;;;
13;8;1693;;;;;
13;9;1642;;;;;
13;10;1691;;;;;
14;1;1702;1692,7;;1692,7;;
14;2;1704;;;;;
14;3;1681;;;;;
14;4;1685;;;;;
14;5;1703;;;;;
14;6;1717;;;;;
14;7;1688;;;;;
14;8;1685;;;;;
14;9;1689;;;;;
14;10;1673;;;;;
15;1;1683;1533,4;;1533,4;;
15;2;1723;;;;;
15;3;1659;;;;;
15;4;1666;;;;;
15;5;1691;;;;;
15;6;1683;;;;;
15;7;171;;;;;
15;8;1654;;;;;
15;9;1706;;;;;
15;10;1698;;;;;
16;1;1652;1686,5;;1686,5;;
16;2;1668;;;;;
16;3;1709;;;;;
16;4;1712;;;;;
16;5;1669;;;;;
16;6;1678;;;;;
16;7;1703;;;;;
16;8;1671;;;;;
16;9;1695;;;;;
16;10;1708;;;;;
