thread;iterazione;durata 
1;1;16261
1;2;16497
1;3;16531
1;4;16670
1;5;16447
1;6;16541
1;7;16553
1;8;16438
1;9;16504
1;10;16324
2;1;8743
2;2;8805
2;3;8787
2;4;8641
2;5;8758
2;6;8761
2;7;8657
2;8;8774
2;9;8761
2;10;8772
3;1;6175
3;2;6216
3;3;6229
3;4;6176
3;5;6234
3;6;6267
3;7;6297
3;8;6220
3;9;6241
3;10;6223
4;1;5521
4;2;5394
4;3;5419
4;4;5450
4;5;5489
4;6;5535
4;7;5427
4;8;5411
4;9;5378
4;10;5374
5;1;5006
5;2;4993
5;3;4925
5;4;4877
5;5;4824
5;6;4702
5;7;4679
5;8;4664
5;9;4720
5;10;4685
6;1;4545
6;2;4504
6;3;4480
6;4;4514
6;5;4496
6;6;4506
6;7;4488
6;8;4498
6;9;4583
6;10;4511
7;1;4420
7;2;4316
7;3;4427
7;4;4398
7;5;4328
7;6;4372
7;7;4361
7;8;4381
7;9;4376
7;10;4337
8;1;4320
8;2;4342
8;3;4337
8;4;4303
8;5;4309
8;6;4311
8;7;4302
8;8;4324
8;9;4299
8;10;4298
9;1;4254
9;2;4236
9;3;4157
9;4;4189
9;5;4250
9;6;4194
9;7;4219
9;8;4227
9;9;4253
9;10;4257
10;1;4115
10;2;4194
10;3;4157
10;4;4124
10;5;4138
10;6;4124
10;7;4148
10;8;4124
10;9;4154
10;10;4165
11;1;4086
11;2;4067
11;3;4062
11;4;4086
11;5;4116
11;6;4091
11;7;4088
11;8;4119
11;9;4134
11;10;4200
12;1;4142
12;2;4098
12;3;4116
12;4;4099
12;5;4106
12;6;4110
12;7;4114
12;8;4115
12;9;4111
12;10;4075
13;1;4089
13;2;4068
13;3;4103
13;4;4093
13;5;4118
13;6;4079
13;7;4102
13;8;4097
13;9;4071
13;10;4062
14;1;4077
14;2;4102
14;3;4129
14;4;4094
14;5;4079
14;6;4130
14;7;4105
14;8;4092
14;9;4100
14;10;4118
15;1;4153
15;2;4128
15;3;4171
15;4;4105
15;5;4108
15;6;4168
15;7;4162
15;8;4109
15;9;4124
15;10;4127
16;1;4083
16;2;4081
16;3;4079
16;4;4101
16;5;4100
16;6;4094
16;7;4063
16;8;4046
16;9;4116
16;10;4055
