thread;rep;throughput;target_string;file_size 
1;1;2.1809e+08;------------;500 
1;2;2.19276e+08;------------;500 
1;3;2.19459e+08;------------;500 
1;4;2.20104e+08;------------;500 
1;5;2.19092e+08;------------;500 
1;6;2.19643e+08;------------;500 
1;7;2.16827e+08;------------;500 
1;8;2.20104e+08;------------;500 
1;9;2.17637e+08;------------;500 
1;10;2.19367e+08;------------;500 
2;1;4.37271e+08;------------;500 
2;2;4.38368e+08;------------;500 
2;3;4.40208e+08;------------;500 
2;4;4.38735e+08;------------;500 
2;5;4.39102e+08;------------;500 
2;6;4.38002e+08;------------;500 
2;7;4.38735e+08;------------;500 
2;8;4.39102e+08;------------;500 
2;9;4.38735e+08;------------;500 
2;10;4.35455e+08;------------;500 
3;1;6.60312e+08;------------;500 
3;2;6.53726e+08;------------;500 
3;3;6.521e+08;------------;500 
3;4;6.6198e+08;------------;500 
3;5;6.60312e+08;------------;500 
3;6;6.59482e+08;------------;500 
3;7;6.38597e+08;------------;500 
3;8;6.60312e+08;------------;500 
3;9;6.57003e+08;------------;500 
3;10;6.5618e+08;------------;500 
4;1;8.30884e+08;------------;500 
4;2;8.11591e+08;------------;500 
4;3;7.83689e+08;------------;500 
4;4;7.9679e+08;------------;500 
4;5;8.48362e+08;------------;500 
4;6;8.46992e+08;------------;500 
4;7;8.23058e+08;------------;500 
4;8;7.98003e+08;------------;500 
4;9;7.98003e+08;------------;500 
4;10;8.2957e+08;------------;500 
5;1;9.2142e+08;------------;500 
5;2;9.74513e+08;------------;500 
5;3;9.07073e+08;------------;500 
5;4;9.60234e+08;------------;500 
5;5;9.29589e+08;------------;500 
5;6;9.13394e+08;------------;500 
5;7;9.2142e+08;------------;500 
5;8;9.02389e+08;------------;500 
5;9;9.6554e+08;------------;500 
5;10;9.37903e+08;------------;500 
6;1;1.02802e+09;------------;500 
6;2;1.04858e+09;------------;500 
6;3;1.04858e+09;------------;500 
6;4;1.09684e+09;------------;500 
6;5;1.07216e+09;------------;500 
6;6;1.00246e+09;------------;500 
6;7;1.05279e+09;------------;500 
6;8;1.05279e+09;------------;500 
6;9;9.94854e+08;------------;500 
6;10;9.72705e+08;------------;500 
7;1;1.06998e+09;------------;500 
7;2;1.0141e+09;------------;500 
7;3;9.3456e+08;------------;500 
7;4;1.04858e+09;------------;500 
7;5;1.04858e+09;------------;500 
7;6;9.42964e+08;------------;500 
7;7;1.01019e+09;------------;500 
7;8;1.024e+09;------------;500 
7;9;9.5673e+08;------------;500 
7;10;1.00825e+09;------------;500 
8;1;9.96745e+08;------------;500 
8;2;1.024e+09;------------;500 
8;3;9.53251e+08;------------;500 
8;4;9.42964e+08;------------;500 
8;5;1.04232e+09;------------;500 
8;6;1.03819e+09;------------;500 
8;7;1.10609e+09;------------;500 
8;8;1.04232e+09;------------;500 
8;9;1.04648e+09;------------;500 
8;10;1.04232e+09;------------;500 
9;1;9.69109e+08;------------;500 
9;2;9.69109e+08;------------;500 
9;3;1.01803e+09;------------;500 
9;4;1.05491e+09;------------;500 
9;5;1.04232e+09;------------;500 
9;6;1.06563e+09;------------;500 
9;7;1.08773e+09;------------;500 
9;8;1.00055e+09;------------;500 
9;9;9.9297e+08;------------;500 
9;10;1.0141e+09;------------;500 
10;1;1.04648e+09;------------;500 
10;2;9.44663e+08;------------;500 
10;3;1.00825e+09;------------;500 
10;4;1.02002e+09;------------;500 
10;5;1.01214e+09;------------;500 
10;6;1.00246e+09;------------;500 
10;7;1.0141e+09;------------;500 
10;8;1.05279e+09;------------;500 
10;9;1.0341e+09;------------;500 
10;10;1.05917e+09;------------;500 
11;1;9.6554e+08;------------;500 
11;2;1.02802e+09;------------;500 
11;3;9.6554e+08;------------;500 
11;4;9.79978e+08;------------;500 
11;5;9.89223e+08;------------;500 
11;6;1.11078e+09;------------;500 
11;7;1.03819e+09;------------;500 
11;8;1.03819e+09;------------;500 
11;9;1.05491e+09;------------;500 
11;10;1.01019e+09;------------;500 
12;1;9.98644e+08;------------;500 
12;2;1.022e+09;------------;500 
12;3;1.02802e+09;------------;500 
12;4;1.03004e+09;------------;500 
12;5;1.00055e+09;------------;500 
12;6;9.70904e+08;------------;500 
12;7;1.00055e+09;------------;500 
12;8;9.78149e+08;------------;500 
12;9;1.04025e+09;------------;500 
12;10;1.022e+09;------------;500 
13;1;9.96745e+08;------------;500 
13;2;9.44663e+08;------------;500 
13;3;9.79978e+08;------------;500 
13;4;9.63765e+08;------------;500 
13;5;9.76328e+08;------------;500 
13;6;1.0141e+09;------------;500 
13;7;1.00246e+09;------------;500 
13;8;1.024e+09;------------;500 
13;9;9.9297e+08;------------;500 
13;10;1.02002e+09;------------;500 
14;1;9.72705e+08;------------;500 
14;2;9.6554e+08;------------;500 
14;3;1.0341e+09;------------;500 
