stringa cercata;thread per blocco;ripetizione;dimensione file;throughput
abracadabra;4;1;7000;67339743119,27
abracadabra;4;2;7000;67963259259,26
abracadabra;4;3;7000;67339743119,27
abracadabra;4;4;7000;67339743119,27
abracadabra;4;5;7000;67339743119,27
abracadabra;4;6;7000;67339743119,27
abracadabra;4;7;7000;67339743119,27
abracadabra;4;8;7000;63826365217,39
abracadabra;4;9;7000;60164196721,31
abracadabra;4;10;7000;65536000000,00
abracadabra;4;11;7000;67339743119,27
abracadabra;4;12;7000;67339743119,27
abracadabra;4;13;7000;67339743119,27
abracadabra;4;14;7000;67339743119,27
abracadabra;4;15;7000;67339743119,27
abracadabra;4;16;7000;66727563636,36
abracadabra;4;17;7000;63276137931,03
abracadabra;4;18;7000;63826365217,39
abracadabra;4;19;7000;65536000000,00
abracadabra;4;20;7000;66727563636,36
abracadabra;4;21;7000;67339743119,27
abracadabra;4;22;7000;66727563636,36
abracadabra;4;23;7000;66727563636,36
abracadabra;4;24;7000;67339743119,27
abracadabra;4;25;7000;64956035398,23
abracadabra;4;26;7000;64386245614,04
abracadabra;4;27;7000;64956035398,23
abracadabra;4;28;7000;65536000000,00
abracadabra;4;29;7000;66126414414,41
abracadabra;4;30;7000;66727563636,36
abracadabra;8;1;7000;116508444444,44
abracadabra;8;2;7000;111212606060,61
abracadabra;8;3;7000;112923569230,77
abracadabra;8;4;7000;111212606060,61
abracadabra;8;5;7000;111212606060,61
abracadabra;8;6;7000;109552716417,91
abracadabra;8;7;7000;109552716417,91
abracadabra;8;8;7000;109552716417,91
abracadabra;8;9;7000;109552716417,91
abracadabra;8;10;7000;111212606060,61
abracadabra;8;11;7000;111212606060,61
abracadabra;8;12;7000;112923569230,77
abracadabra;8;13;7000;112923569230,77
abracadabra;8;14;7000;114688000000,00
abracadabra;8;15;7000;114688000000,00
abracadabra;8;16;7000;112923569230,77
abracadabra;8;17;7000;112923569230,77
abracadabra;8;18;7000;112923569230,77
abracadabra;8;19;7000;111212606060,61
abracadabra;8;20;7000;111212606060,61
abracadabra;8;21;7000;109552716417,91
abracadabra;8;22;7000;109552716417,91
abracadabra;8;23;7000;111212606060,61
abracadabra;8;24;7000;114688000000,00
abracadabra;8;25;7000;114688000000,00
abracadabra;8;26;7000;116508444444,44
abracadabra;8;27;7000;116508444444,44
abracadabra;8;28;7000;116508444444,44
abracadabra;8;29;7000;116508444444,44
abracadabra;8;30;7000;116508444444,44
abracadabra;12;1;7000;126552275862,07
abracadabra;12;2;7000;122333866666,67
abracadabra;12;3;7000;122333866666,67
abracadabra;12;4;7000;122333866666,67
abracadabra;12;5;7000;120328393442,62
abracadabra;12;6;7000;120328393442,62
abracadabra;12;7;7000;120328393442,62
abracadabra;12;8;7000;120328393442,62
abracadabra;12;9;7000;120328393442,62
abracadabra;12;10;7000;122333866666,67
abracadabra;12;11;7000;122333866666,67
abracadabra;12;12;7000;122333866666,67
abracadabra;12;13;7000;124407322033,90
abracadabra;12;14;7000;126552275862,07
abracadabra;12;15;7000;124407322033,90
abracadabra;12;16;7000;124407322033,90
abracadabra;12;17;7000;124407322033,90
abracadabra;12;18;7000;124407322033,90
abracadabra;12;19;7000;124407322033,90
abracadabra;12;20;7000;122333866666,67
abracadabra;12;21;7000;120328393442,62
abracadabra;12;22;7000;120328393442,62
abracadabra;12;23;7000;120328393442,62
abracadabra;12;24;7000;120328393442,62
abracadabra;12;25;7000;120328393442,62
abracadabra;12;26;7000;120328393442,62
abracadabra;12;27;7000;120328393442,62
abracadabra;12;28;7000;122333866666,67
abracadabra;12;29;7000;122333866666,67
abracadabra;12;30;7000;124407322033,90
abracadabra;16;1;7000;174762666666,67
abracadabra;16;2;7000;163111822222,22
abracadabra;16;3;7000;163111822222,22
abracadabra;16;4;7000;163111822222,22
abracadabra;16;5;7000;163111822222,22
abracadabra;16;6;7000;163111822222,22
abracadabra;16;7;7000;163111822222,22
abracadabra;16;8;7000;163111822222,22
abracadabra;16;9;7000;163111822222,22
abracadabra;16;10;7000;156170893617,02
abracadabra;16;11;7000;159565913043,48
abracadabra;16;12;7000;163111822222,22
abracadabra;16;13;7000;166818909090,91
abracadabra;16;14;7000;166818909090,91
abracadabra;16;15;7000;163111822222,22
abracadabra;16;16;7000;163111822222,22
abracadabra;16;17;7000;174762666666,67
abracadabra;16;18;7000;166818909090,91
abracadabra;16;19;7000;170698418604,65
abracadabra;16;20;7000;170698418604,65
abracadabra;16;21;7000;179025170731,71
abracadabra;16;22;7000;174762666666,67
abracadabra;16;23;7000;174762666666,67
abracadabra;16;24;7000;170698418604,65
abracadabra;16;25;7000;170698418604,65
abracadabra;16;26;7000;170698418604,65
abracadabra;16;27;7000;166818909090,91
abracadabra;16;28;7000;166818909090,91
abracadabra;16;29;7000;166818909090,91
abracadabra;16;30;7000;163111822222,22
abracadabra;20;1;7000;166818909090,91
abracadabra;20;2;7000;163111822222,22
abracadabra;20;3;7000;166818909090,91
abracadabra;20;4;7000;166818909090,91
abracadabra;20;5;7000;163111822222,22
abracadabra;20;6;7000;163111822222,22
abracadabra;20;7;7000;163111822222,22
abracadabra;20;8;7000;166818909090,91
abracadabra;20;9;7000;166818909090,91
abracadabra;20;10;7000;149796571428,57
abracadabra;20;11;7000;159565913043,48
abracadabra;20;12;7000;166818909090,91
abracadabra;20;13;7000;174762666666,67
abracadabra;20;14;7000;174762666666,67
abracadabra;20;15;7000;174762666666,67
abracadabra;20;16;7000;174762666666,67
abracadabra;20;17;7000;174762666666,67
abracadabra;20;18;7000;170698418604,65
abracadabra;20;19;7000;174762666666,67
abracadabra;20;20;7000;170698418604,65
abracadabra;20;21;7000;170698418604,65
abracadabra;20;22;7000;166818909090,91
abracadabra;20;23;7000;166818909090,91
abracadabra;20;24;7000;166818909090,91
abracadabra;20;25;7000;166818909090,91
abracadabra;20;26;7000;166818909090,91
abracadabra;20;27;7000;166818909090,91
abracadabra;20;28;7000;166818909090,91
abracadabra;20;29;7000;163111822222,22
abracadabra;20;30;7000;163111822222,22
abracadabra;24;1;7000;149796571428,57
abracadabra;24;2;7000;159565913043,48
abracadabra;24;3;7000;159565913043,48
abracadabra;24;4;7000;163111822222,22
abracadabra;24;5;7000;163111822222,22
abracadabra;24;6;7000;163111822222,22
abracadabra;24;7;7000;163111822222,22
abracadabra;24;8;7000;163111822222,22
abracadabra;24;9;7000;163111822222,22
abracadabra;24;10;7000;163111822222,22
abracadabra;24;11;7000;159565913043,48
abracadabra;24;12;7000;156170893617,02
abracadabra;24;13;7000;156170893617,02
abracadabra;24;14;7000;159565913043,48
abracadabra;24;15;7000;156170893617,02
abracadabra;24;16;7000;156170893617,02
abracadabra;24;17;7000;152917333333,33
abracadabra;24;18;7000;152917333333,33
abracadabra;24;19;7000;141154461538,46
abracadabra;24;20;7000;149796571428,57
abracadabra;24;21;7000;149796571428,57
abracadabra;24;22;7000;156170893617,02
abracadabra;24;23;7000;149796571428,57
abracadabra;24;24;7000;159565913043,48
abracadabra;24;25;7000;159565913043,48
abracadabra;24;26;7000;159565913043,48
abracadabra;24;27;7000;163111822222,22
abracadabra;24;28;7000;159565913043,48
abracadabra;24;29;7000;163111822222,22
abracadabra;24;30;7000;159565913043,48
abracadabra;28;1;7000;135926518518,52
abracadabra;28;2;7000;141154461538,46
abracadabra;28;3;7000;141154461538,46
abracadabra;28;4;7000;143922196078,43
abracadabra;28;5;7000;138491169811,32
abracadabra;28;6;7000;138491169811,32
abracadabra;28;7;7000;135926518518,52
abracadabra;28;8;7000;138491169811,32
abracadabra;28;9;7000;138491169811,32
abracadabra;28;10;7000;133455127272,73
abracadabra;28;11;7000;135926518518,52
abracadabra;28;12;7000;135926518518,52
abracadabra;28;13;7000;141154461538,46
abracadabra;28;14;7000;143922196078,43
abracadabra;28;15;7000;143922196078,43
abracadabra;28;16;7000;143922196078,43
abracadabra;28;17;7000;138491169811,32
abracadabra;28;18;7000;141154461538,46
abracadabra;28;19;7000;143922196078,43
abracadabra;28;20;7000;143922196078,43
abracadabra;28;21;7000;141154461538,46
abracadabra;28;22;7000;138491169811,32
abracadabra;28;23;7000;141154461538,46
abracadabra;28;24;7000;138491169811,32
abracadabra;28;25;7000;138491169811,32
abracadabra;28;26;7000;138491169811,32
abracadabra;28;27;7000;138491169811,32
abracadabra;28;28;7000;135926518518,52
abracadabra;28;29;7000;135926518518,52
abracadabra;28;30;7000;135926518518,52
abracadabra;32;1;7000;152917333333,33
abracadabra;32;2;7000;152917333333,33
abracadabra;32;3;7000;149796571428,57
abracadabra;32;4;7000;146800640000,00
abracadabra;32;5;7000;149796571428,57
abracadabra;32;6;7000;152917333333,33
abracadabra;32;7;7000;149796571428,57
abracadabra;32;8;7000;149796571428,57
abracadabra;32;9;7000;149796571428,57
abracadabra;32;10;7000;149796571428,57
abracadabra;32;11;7000;146800640000,00
abracadabra;32;12;7000;146800640000,00
abracadabra;32;13;7000;149796571428,57
abracadabra;32;14;7000;143922196078,43
abracadabra;32;15;7000;149796571428,57
abracadabra;32;16;7000;143922196078,43
abracadabra;32;17;7000;146800640000,00
abracadabra;32;18;7000;146800640000,00
abracadabra;32;19;7000;146800640000,00
abracadabra;32;20;7000;149796571428,57
abracadabra;32;21;7000;149796571428,57
abracadabra;32;22;7000;149796571428,57
abracadabra;32;23;7000;149796571428,57
abracadabra;32;24;7000;149796571428,57
abracadabra;32;25;7000;149796571428,57
abracadabra;32;26;7000;146800640000,00
abracadabra;32;27;7000;146800640000,00
abracadabra;32;28;7000;149796571428,57
abracadabra;32;29;7000;149796571428,57
abracadabra;32;30;7000;149796571428,57
unevenstring;4;1;7000;67339743119,27
unevenstring;4;2;7000;69905066666,67
unevenstring;4;3;7000;69905066666,67
unevenstring;4;4;7000;69905066666,67
unevenstring;4;5;7000;69905066666,67
unevenstring;4;6;7000;69905066666,67
unevenstring;4;7;7000;69905066666,67
unevenstring;4;8;7000;69905066666,67
unevenstring;4;9;7000;69905066666,67
unevenstring;4;10;7000;69905066666,67
unevenstring;4;11;7000;69905066666,67
unevenstring;4;12;7000;69905066666,67
unevenstring;4;13;7000;69905066666,67
unevenstring;4;14;7000;69905066666,67
unevenstring;4;15;7000;69245584905,66
unevenstring;4;16;7000;69905066666,67
unevenstring;4;17;7000;69905066666,67
unevenstring;4;18;7000;69905066666,67
unevenstring;4;19;7000;69905066666,67
unevenstring;4;20;7000;69905066666,67
unevenstring;4;21;7000;69905066666,67
unevenstring;4;22;7000;69905066666,67
unevenstring;4;23;7000;69905066666,67
unevenstring;4;24;7000;69905066666,67
unevenstring;4;25;7000;69905066666,67
unevenstring;4;26;7000;69905066666,67
unevenstring;4;27;7000;69905066666,67
unevenstring;4;28;7000;69905066666,67
unevenstring;4;29;7000;69905066666,67
unevenstring;4;30;7000;69905066666,67
unevenstring;8;1;7000;128772491228,07
unevenstring;8;2;7000;124407322033,90
unevenstring;8;3;7000;122333866666,67
unevenstring;8;4;7000;122333866666,67
unevenstring;8;5;7000;122333866666,67
unevenstring;8;6;7000;122333866666,67
unevenstring;8;7;7000;124407322033,90
unevenstring;8;8;7000;122333866666,67
unevenstring;8;9;7000;122333866666,67
unevenstring;8;10;7000;122333866666,67
unevenstring;8;11;7000;122333866666,67
unevenstring;8;12;7000;124407322033,90
unevenstring;8;13;7000;122333866666,67
unevenstring;8;14;7000;122333866666,67
unevenstring;8;15;7000;124407322033,90
unevenstring;8;16;7000;124407322033,90
unevenstring;8;17;7000;124407322033,90
unevenstring;8;18;7000;124407322033,90
unevenstring;8;19;7000;124407322033,90
unevenstring;8;20;7000;124407322033,90
unevenstring;8;21;7000;122333866666,67
unevenstring;8;22;7000;122333866666,67
unevenstring;8;23;7000;122333866666,67
unevenstring;8;24;7000;122333866666,67
unevenstring;8;25;7000;122333866666,67
unevenstring;8;26;7000;122333866666,67
