stringa cercata;limite shared mem;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;87;32;1;1;7000;19573418666,67
unevenstring;87;32;1;2;7000;19731268817,20
unevenstring;87;32;1;3;7000;19731268817,20
unevenstring;87;32;1;4;7000;19731268817,20
unevenstring;87;32;1;5;7000;19731268817,20
unevenstring;87;32;1;6;7000;19731268817,20
unevenstring;87;32;1;7;7000;19731268817,20
unevenstring;87;32;1;8;7000;19731268817,20
unevenstring;87;32;1;9;7000;19731268817,20
unevenstring;87;32;1;10;7000;19731268817,20
unevenstring;87;32;1;11;7000;19731268817,20
unevenstring;87;32;1;12;7000;19731268817,20
unevenstring;87;32;1;13;7000;19731268817,20
unevenstring;87;32;1;14;7000;19573418666,67
unevenstring;87;32;1;15;7000;19731268817,20
unevenstring;87;32;1;16;7000;19731268817,20
unevenstring;87;32;1;17;7000;19731268817,20
unevenstring;87;32;1;18;7000;19731268817,20
unevenstring;87;32;1;19;7000;19731268817,20
unevenstring;87;32;1;20;7000;19731268817,20
unevenstring;87;32;1;21;7000;19731268817,20
unevenstring;87;32;1;22;7000;19731268817,20
unevenstring;87;32;1;23;7000;19731268817,20
unevenstring;87;32;1;24;7000;19731268817,20
unevenstring;87;32;1;25;7000;19731268817,20
unevenstring;87;32;1;26;7000;19731268817,20
unevenstring;87;32;1;27;7000;19731268817,20
unevenstring;87;32;1;28;7000;19731268817,20
unevenstring;87;32;1;29;7000;19731268817,20
unevenstring;87;32;1;30;7000;19731268817,20
unevenstring;87;64;1;1;7000;48609483443,71
unevenstring;87;64;1;2;7000;46163723270,44
unevenstring;87;64;1;3;7000;45308839506,17
unevenstring;87;64;1;4;7000;44756292682,93
unevenstring;87;64;1;5;7000;46163723270,44
unevenstring;87;64;1;6;7000;46751796178,34
unevenstring;87;64;1;7;7000;48289684210,53
unevenstring;87;64;1;8;7000;47662545454,55
unevenstring;87;64;1;9;7000;46751796178,34
unevenstring;87;64;1;10;7000;46163723270,44
unevenstring;87;64;1;11;7000;46163723270,44
unevenstring;87;64;1;12;7000;46751796178,34
unevenstring;87;64;1;13;7000;47355045161,29
unevenstring;87;64;1;14;7000;47051487179,49
unevenstring;87;64;1;15;7000;46751796178,34
unevenstring;87;64;1;16;7000;46163723270,44
unevenstring;87;64;1;17;7000;45875200000,00
unevenstring;87;64;1;18;7000;46455898734,18
unevenstring;87;64;1;19;7000;47051487179,49
unevenstring;87;64;1;20;7000;47051487179,49
unevenstring;87;64;1;21;7000;46751796178,34
unevenstring;87;64;1;22;7000;46163723270,44
unevenstring;87;64;1;23;7000;46163723270,44
unevenstring;87;64;1;24;7000;46455898734,18
unevenstring;87;64;1;25;7000;46751796178,34
unevenstring;87;64;1;26;7000;47051487179,49
unevenstring;87;64;1;27;7000;46751796178,34
unevenstring;87;64;1;28;7000;46163723270,44
unevenstring;87;64;1;29;7000;46163723270,44
unevenstring;87;64;1;30;7000;46455898734,18
unevenstring;87;96;1;1;7000;49932190476,19
unevenstring;87;96;1;2;7000;50274191780,82
unevenstring;87;96;1;3;7000;49932190476,19
unevenstring;87;96;1;4;7000;49932190476,19
unevenstring;87;96;1;5;7000;49594810810,81
unevenstring;87;96;1;6;7000;49594810810,81
unevenstring;87;96;1;7;7000;49594810810,81
unevenstring;87;96;1;8;7000;49932190476,19
unevenstring;87;96;1;9;7000;49932190476,19
unevenstring;87;96;1;10;7000;49932190476,19
unevenstring;87;96;1;11;7000;49594810810,81
unevenstring;87;96;1;12;7000;49594810810,81
unevenstring;87;96;1;13;7000;49594810810,81
unevenstring;87;96;1;14;7000;49932190476,19
unevenstring;87;96;1;15;7000;49932190476,19
unevenstring;87;96;1;16;7000;49932190476,19
unevenstring;87;96;1;17;7000;49594810810,81
unevenstring;87;96;1;18;7000;49594810810,81
unevenstring;87;96;1;19;7000;49594810810,81
unevenstring;87;96;1;20;7000;49594810810,81
unevenstring;87;96;1;21;7000;49932190476,19
unevenstring;87;96;1;22;7000;49932190476,19
unevenstring;87;96;1;23;7000;49932190476,19
unevenstring;87;96;1;24;7000;49594810810,81
unevenstring;87;96;1;25;7000;49594810810,81
unevenstring;87;96;1;26;7000;49594810810,81
unevenstring;87;96;1;27;7000;49932190476,19
unevenstring;87;96;1;28;7000;49932190476,19
unevenstring;87;96;1;29;7000;49932190476,19
unevenstring;87;96;1;30;7000;50274191780,82
unevenstring;87;128;1;1;7000;49932190476,19
unevenstring;87;128;1;2;7000;50620910344,83
unevenstring;87;128;1;3;7000;50972444444,44
unevenstring;87;128;1;4;7000;51328895104,90
unevenstring;87;128;1;5;7000;50972444444,44
unevenstring;87;128;1;6;7000;50620910344,83
unevenstring;87;128;1;7;7000;49594810810,81
unevenstring;87;128;1;8;7000;48609483443,71
unevenstring;87;128;1;9;7000;47662545454,55
unevenstring;87;128;1;10;7000;50620910344,83
unevenstring;87;128;1;11;7000;50972444444,44
unevenstring;87;128;1;12;7000;50972444444,44
unevenstring;87;128;1;13;7000;50274191780,82
unevenstring;87;128;1;14;7000;49261959731,54
unevenstring;87;128;1;15;7000;48289684210,53
unevenstring;87;128;1;16;7000;49594810810,81
unevenstring;87;128;1;17;7000;50620910344,83
unevenstring;87;128;1;18;7000;50620910344,83
unevenstring;87;128;1;19;7000;50620910344,83
unevenstring;87;128;1;20;7000;49932190476,19
unevenstring;87;128;1;21;7000;48933546666,67
unevenstring;87;128;1;22;7000;49594810810,81
unevenstring;87;128;1;23;7000;51328895104,90
unevenstring;87;128;1;24;7000;51690366197,18
unevenstring;87;128;1;25;7000;52056964539,01
unevenstring;87;128;1;26;7000;51328895104,90
unevenstring;87;128;1;27;7000;49594810810,81
unevenstring;87;128;1;28;7000;49261959731,54
unevenstring;87;128;1;29;7000;50274191780,82
unevenstring;87;128;1;30;7000;51328895104,90
unevenstring;87;160;1;1;7000;49932190476,19
unevenstring;87;160;1;2;7000;49932190476,19
unevenstring;87;160;1;3;7000;49261959731,54
unevenstring;87;160;1;4;7000;48933546666,67
unevenstring;87;160;1;5;7000;48933546666,67
unevenstring;87;160;1;6;7000;49261959731,54
unevenstring;87;160;1;7;7000;49594810810,81
unevenstring;87;160;1;8;7000;49594810810,81
unevenstring;87;160;1;9;7000;49594810810,81
unevenstring;87;160;1;10;7000;49261959731,54
unevenstring;87;160;1;11;7000;48933546666,67
unevenstring;87;160;1;12;7000;48933546666,67
unevenstring;87;160;1;13;7000;49261959731,54
unevenstring;87;160;1;14;7000;49594810810,81
unevenstring;87;160;1;15;7000;49594810810,81
unevenstring;87;160;1;16;7000;49261959731,54
unevenstring;87;160;1;17;7000;48933546666,67
unevenstring;87;160;1;18;7000;48933546666,67
unevenstring;87;160;1;19;7000;49261959731,54
unevenstring;87;160;1;20;7000;49261959731,54
unevenstring;87;160;1;21;7000;49594810810,81
unevenstring;87;160;1;22;7000;49261959731,54
unevenstring;87;160;1;23;7000;49261959731,54
unevenstring;87;160;1;24;7000;49261959731,54
unevenstring;87;160;1;25;7000;49261959731,54
unevenstring;87;160;1;26;7000;50620910344,83
unevenstring;87;160;1;27;7000;50274191780,82
unevenstring;87;160;1;28;7000;49594810810,81
unevenstring;87;160;1;29;7000;49261959731,54
unevenstring;87;160;1;30;7000;49261959731,54
unevenstring;87;192;1;1;7000;49594810810,81
unevenstring;87;192;1;2;7000;49932190476,19
unevenstring;87;192;1;3;7000;51690366197,18
unevenstring;87;192;1;4;7000;51328895104,90
unevenstring;87;192;1;5;7000;50972444444,44
unevenstring;87;192;1;6;7000;50972444444,44
unevenstring;87;192;1;7;7000;50620910344,83
unevenstring;87;192;1;8;7000;49594810810,81
unevenstring;87;192;1;9;7000;50620910344,83
unevenstring;87;192;1;10;7000;50972444444,44
unevenstring;87;192;1;11;7000;51690366197,18
unevenstring;87;192;1;12;7000;51328895104,90
unevenstring;87;192;1;13;7000;50972444444,44
unevenstring;87;192;1;14;7000;50274191780,82
unevenstring;87;192;1;15;7000;50274191780,82
unevenstring;87;192;1;16;7000;50620910344,83
unevenstring;87;192;1;17;7000;50620910344,83
unevenstring;87;192;1;18;7000;51328895104,90
unevenstring;87;192;1;19;7000;50972444444,44
unevenstring;87;192;1;20;7000;50620910344,83
unevenstring;87;192;1;21;7000;50274191780,82
unevenstring;87;192;1;22;7000;50620910344,83
unevenstring;87;192;1;23;7000;50620910344,83
unevenstring;87;192;1;24;7000;50972444444,44
unevenstring;87;192;1;25;7000;50972444444,44
unevenstring;87;192;1;26;7000;50972444444,44
unevenstring;87;192;1;27;7000;50620910344,83
unevenstring;87;192;1;28;7000;50274191780,82
unevenstring;87;192;1;29;7000;50620910344,83
unevenstring;87;192;1;30;7000;50620910344,83
unevenstring;87;224;1;1;7000;47662545454,55
unevenstring;87;224;1;2;7000;47662545454,55
unevenstring;87;224;1;3;7000;47051487179,49
unevenstring;87;224;1;4;7000;47051487179,49
unevenstring;87;224;1;5;7000;47051487179,49
unevenstring;87;224;1;6;7000;46455898734,18
