stringa cercata;limite shared mem;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;87;32;24;1;7000;31234178723,40
unevenstring;87;32;24;2;7000;31502283261,80
unevenstring;87;32;24;3;7000;31101830508,47
unevenstring;87;32;24;4;7000;25575024390,24
unevenstring;87;32;24;5;7000;29716728744,94
unevenstring;87;32;24;6;7000;31367658119,66
unevenstring;87;32;24;7;7000;30330710743,80
unevenstring;87;32;24;8;7000;26788437956,20
unevenstring;87;32;24;9;7000;29837528455,28
unevenstring;87;32;24;10;7000;31234178723,40
unevenstring;87;32;24;11;7000;29959314285,71
unevenstring;87;32;24;12;7000;27908866920,15
unevenstring;87;32;24;13;7000;29837528455,28
unevenstring;87;32;24;14;7000;30840470588,24
unevenstring;87;32;24;15;7000;29837528455,28
unevenstring;87;32;24;16;7000;28449736434,11
unevenstring;87;32;24;17;7000;29837528455,28
unevenstring;87;32;24;18;7000;30583466666,67
unevenstring;87;32;24;19;7000;29716728744,94
unevenstring;87;32;24;20;7000;28897763779,53
unevenstring;87;32;24;21;7000;29959314285,71
unevenstring;87;32;24;22;7000;30840470588,24
unevenstring;87;32;24;23;7000;30205893004,12
unevenstring;87;32;24;24;7000;29716728744,94
unevenstring;87;32;24;25;7000;30330710743,80
unevenstring;87;32;24;26;7000;30970599156,12
unevenstring;87;32;24;27;7000;30205893004,12
unevenstring;87;32;24;28;7000;29127111111,11
unevenstring;87;32;24;29;7000;30583466666,67
unevenstring;87;32;24;30;7000;30711430962,34
unevenstring;87;64;24;1;7000;52428800000,00
unevenstring;87;64;24;2;7000;51328895104,90
unevenstring;87;64;24;3;7000;49932190476,19
unevenstring;87;64;24;4;7000;50972444444,44
unevenstring;87;64;24;5;7000;53188637681,16
unevenstring;87;64;24;6;7000;54776358208,96
unevenstring;87;64;24;7;7000;54370607407,41
unevenstring;87;64;24;8;7000;54370607407,41
unevenstring;87;64;24;9;7000;52428800000,00
unevenstring;87;64;24;10;7000;51328895104,90
unevenstring;87;64;24;11;7000;51328895104,90
unevenstring;87;64;24;12;7000;50972444444,44
unevenstring;87;64;24;13;7000;49932190476,19
unevenstring;87;64;24;14;7000;53188637681,16
unevenstring;87;64;24;15;7000;53188637681,16
unevenstring;87;64;24;16;7000;52428800000,00
unevenstring;87;64;24;17;7000;51690366197,18
unevenstring;87;64;24;18;7000;50972444444,44
unevenstring;87;64;24;19;7000;50972444444,44
unevenstring;87;64;24;20;7000;51328895104,90
unevenstring;87;64;24;21;7000;53188637681,16
unevenstring;87;64;24;22;7000;53188637681,16
unevenstring;87;64;24;23;7000;52805985611,51
unevenstring;87;64;24;24;7000;52056964539,01
unevenstring;87;64;24;25;7000;51328895104,90
unevenstring;87;64;24;26;7000;51328895104,90
unevenstring;87;64;24;27;7000;52805985611,51
unevenstring;87;64;24;28;7000;53188637681,16
unevenstring;87;64;24;29;7000;52805985611,51
unevenstring;87;64;24;30;7000;52428800000,00
unevenstring;87;96;16;1;7000;52056964539,01
unevenstring;87;96;16;2;7000;51690366197,18
unevenstring;87;96;16;3;7000;51328895104,90
unevenstring;87;96;16;4;7000;52428800000,00
unevenstring;87;96;16;5;7000;52805985611,51
unevenstring;87;96;16;6;7000;52805985611,51
unevenstring;87;96;16;7;7000;52428800000,00
unevenstring;87;96;16;8;7000;52056964539,01
unevenstring;87;96;16;9;7000;51690366197,18
unevenstring;87;96;16;10;7000;51690366197,18
unevenstring;87;96;16;11;7000;52056964539,01
unevenstring;87;96;16;12;7000;52428800000,00
unevenstring;87;96;16;13;7000;52428800000,00
unevenstring;87;96;16;14;7000;52428800000,00
unevenstring;87;96;16;15;7000;52056964539,01
unevenstring;87;96;16;16;7000;51690366197,18
unevenstring;87;96;16;17;7000;51690366197,18
unevenstring;87;96;16;18;7000;52056964539,01
unevenstring;87;96;16;19;7000;52428800000,00
unevenstring;87;96;16;20;7000;52428800000,00
unevenstring;87;96;16;21;7000;52428800000,00
unevenstring;87;96;16;22;7000;52056964539,01
unevenstring;87;96;16;23;7000;51690366197,18
unevenstring;87;96;16;24;7000;52056964539,01
unevenstring;87;96;16;25;7000;52428800000,00
unevenstring;87;96;16;26;7000;52428800000,00
unevenstring;87;96;16;27;7000;52428800000,00
unevenstring;87;96;16;28;7000;52428800000,00
unevenstring;87;96;16;29;7000;52056964539,01
unevenstring;87;96;16;30;7000;51690366197,18
unevenstring;87;128;12;1;7000;51690366197,18
unevenstring;87;128;12;2;7000;51690366197,18
unevenstring;87;128;12;3;7000;51690366197,18
unevenstring;87;128;12;4;7000;52056964539,01
unevenstring;87;128;12;5;7000;52056964539,01
unevenstring;87;128;12;6;7000;51328895104,90
unevenstring;87;128;12;7;7000;51328895104,90
unevenstring;87;128;12;8;7000;51690366197,18
unevenstring;87;128;12;9;7000;51690366197,18
unevenstring;87;128;12;10;7000;52056964539,01
unevenstring;87;128;12;11;7000;52056964539,01
unevenstring;87;128;12;12;7000;51690366197,18
unevenstring;87;128;12;13;7000;51690366197,18
unevenstring;87;128;12;14;7000;51328895104,90
unevenstring;87;128;12;15;7000;51690366197,18
unevenstring;87;128;12;16;7000;51690366197,18
unevenstring;87;128;12;17;7000;52428800000,00
unevenstring;87;128;12;18;7000;52428800000,00
unevenstring;87;128;12;19;7000;52056964539,01
unevenstring;87;128;12;20;7000;51690366197,18
unevenstring;87;128;12;21;7000;51328895104,90
unevenstring;87;128;12;22;7000;51690366197,18
unevenstring;87;128;12;23;7000;50972444444,44
unevenstring;87;128;12;24;7000;52805985611,51
unevenstring;87;128;12;25;7000;52428800000,00
unevenstring;87;128;12;26;7000;52056964539,01
unevenstring;87;128;12;27;7000;51690366197,18
unevenstring;87;128;12;28;7000;51690366197,18
unevenstring;87;128;12;29;7000;51328895104,90
unevenstring;87;128;12;30;7000;50972444444,44
unevenstring;87;160;9;1;7000;48933546666,67
unevenstring;87;160;9;2;7000;48933546666,67
unevenstring;87;160;9;3;7000;48933546666,67
unevenstring;87;160;9;4;7000;48609483443,71
unevenstring;87;160;9;5;7000;48289684210,53
unevenstring;87;160;9;6;7000;47974065359,48
unevenstring;87;160;9;7;7000;48609483443,71
unevenstring;87;160;9;8;7000;48933546666,67
unevenstring;87;160;9;9;7000;48933546666,67
unevenstring;87;160;9;10;7000;48609483443,71
unevenstring;87;160;9;11;7000;48609483443,71
unevenstring;87;160;9;12;7000;48289684210,53
unevenstring;87;160;9;13;7000;48289684210,53
unevenstring;87;160;9;14;7000;48609483443,71
unevenstring;87;160;9;15;7000;48933546666,67
unevenstring;87;160;9;16;7000;48933546666,67
unevenstring;87;160;9;17;7000;48609483443,71
unevenstring;87;160;9;18;7000;48289684210,53
unevenstring;87;160;9;19;7000;48289684210,53
unevenstring;87;160;9;20;7000;48609483443,71
unevenstring;87;160;9;21;7000;48609483443,71
unevenstring;87;160;9;22;7000;48609483443,71
unevenstring;87;160;9;23;7000;48609483443,71
unevenstring;87;160;9;24;7000;48289684210,53
unevenstring;87;160;9;25;7000;48289684210,53
unevenstring;87;160;9;26;7000;48609483443,71
unevenstring;87;160;9;27;7000;48609483443,71
unevenstring;87;160;9;28;7000;48933546666,67
unevenstring;87;160;9;29;7000;48933546666,67
unevenstring;87;160;9;30;7000;48609483443,71
unevenstring;87;192;8;1;7000;50620910344,83
unevenstring;87;192;8;2;7000;50620910344,83
unevenstring;87;192;8;3;7000;50620910344,83
unevenstring;87;192;8;4;7000;50620910344,83
unevenstring;87;192;8;5;7000;50972444444,44
unevenstring;87;192;8;6;7000;50972444444,44
