stringa cercata;limite shared mem;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;87;32;24;1;4000;23967451428,57
unevenstring;87;32;24;2;4000;24966095238,10
unevenstring;87;32;24;3;4000;24966095238,10
unevenstring;87;32;24;4;4000;24966095238,10
unevenstring;87;32;24;5;4000;24966095238,10
unevenstring;87;32;24;6;4000;24966095238,10
unevenstring;87;32;24;7;4000;24818366863,91
unevenstring;87;32;24;8;4000;24966095238,10
unevenstring;87;32;24;9;4000;24966095238,10
unevenstring;87;32;24;10;4000;24966095238,10
unevenstring;87;32;24;11;4000;24966095238,10
unevenstring;87;32;24;12;4000;24966095238,10
unevenstring;87;32;24;13;4000;24966095238,10
unevenstring;87;32;24;14;4000;24966095238,10
unevenstring;87;32;24;15;4000;24966095238,10
unevenstring;87;32;24;16;4000;24818366863,91
unevenstring;87;32;24;17;4000;24966095238,10
unevenstring;87;32;24;18;4000;24966095238,10
unevenstring;87;32;24;19;4000;24966095238,10
unevenstring;87;32;24;20;4000;24966095238,10
unevenstring;87;32;24;21;4000;24966095238,10
unevenstring;87;32;24;22;4000;24966095238,10
unevenstring;87;32;24;23;4000;24966095238,10
unevenstring;87;32;24;24;4000;24966095238,10
unevenstring;87;32;24;25;4000;24966095238,10
unevenstring;87;32;24;26;4000;24966095238,10
unevenstring;87;32;24;27;4000;24966095238,10
unevenstring;87;32;24;28;4000;24966095238,10
unevenstring;87;32;24;29;4000;24966095238,10
unevenstring;87;32;24;30;4000;24966095238,10
unevenstring;87;64;24;1;4000;46603377777,78
unevenstring;87;64;24;2;4000;46091252747,25
unevenstring;87;64;24;3;4000;46091252747,25
unevenstring;87;64;24;4;4000;46603377777,78
unevenstring;87;64;24;5;4000;46091252747,25
unevenstring;87;64;24;6;4000;45590260869,57
unevenstring;87;64;24;7;4000;46091252747,25
unevenstring;87;64;24;8;4000;46091252747,25
unevenstring;87;64;24;9;4000;46091252747,25
unevenstring;87;64;24;10;4000;46091252747,25
unevenstring;87;64;24;11;4000;46091252747,25
unevenstring;87;64;24;12;4000;46091252747,25
unevenstring;87;64;24;13;4000;46091252747,25
unevenstring;87;64;24;14;4000;46091252747,25
unevenstring;87;64;24;15;4000;46091252747,25
unevenstring;87;64;24;16;4000;46091252747,25
unevenstring;87;64;24;17;4000;44620255319,15
unevenstring;87;64;24;18;4000;44150568421,05
unevenstring;87;64;24;19;4000;44620255319,15
unevenstring;87;64;24;20;4000;44620255319,15
unevenstring;87;64;24;21;4000;44150568421,05
unevenstring;87;64;24;22;4000;44150568421,05
unevenstring;87;64;24;23;4000;44150568421,05
unevenstring;87;64;24;24;4000;44150568421,05
unevenstring;87;64;24;25;4000;44150568421,05
unevenstring;87;64;24;26;4000;44150568421,05
unevenstring;87;64;24;27;4000;44150568421,05
unevenstring;87;64;24;28;4000;44150568421,05
unevenstring;87;64;24;29;4000;44150568421,05
unevenstring;87;64;24;30;4000;44150568421,05
unevenstring;87;96;16;1;4000;43240247422,68
unevenstring;87;96;16;2;4000;43240247422,68
unevenstring;87;96;16;3;4000;43240247422,68
unevenstring;87;96;16;4;4000;43240247422,68
unevenstring;87;96;16;5;4000;43240247422,68
unevenstring;87;96;16;6;4000;43240247422,68
unevenstring;87;96;16;7;4000;43240247422,68
unevenstring;87;96;16;8;4000;43240247422,68
unevenstring;87;96;16;9;4000;43240247422,68
unevenstring;87;96;16;10;4000;43240247422,68
unevenstring;87;96;16;11;4000;43240247422,68
unevenstring;87;96;16;12;4000;43240247422,68
unevenstring;87;96;16;13;4000;43240247422,68
unevenstring;87;96;16;14;4000;43240247422,68
unevenstring;87;96;16;15;4000;43240247422,68
unevenstring;87;96;16;16;4000;43240247422,68
unevenstring;87;96;16;17;4000;43240247422,68
unevenstring;87;96;16;18;4000;43240247422,68
unevenstring;87;96;16;19;4000;43240247422,68
unevenstring;87;96;16;20;4000;43240247422,68
unevenstring;87;96;16;21;4000;43240247422,68
unevenstring;87;96;16;22;4000;43240247422,68
unevenstring;87;96;16;23;4000;43240247422,68
unevenstring;87;96;16;24;4000;43240247422,68
unevenstring;87;96;16;25;4000;43240247422,68
unevenstring;87;96;16;26;4000;43240247422,68
unevenstring;87;96;16;27;4000;43240247422,68
unevenstring;87;96;16;28;4000;43240247422,68
unevenstring;87;96;16;29;4000;43240247422,68
unevenstring;87;96;16;30;4000;43690666666,67
unevenstring;87;128;12;1;4000;87381333333,33
unevenstring;87;128;12;2;4000;87381333333,33
unevenstring;87;128;12;3;4000;85598040816,33
unevenstring;87;128;12;4;4000;85598040816,33
unevenstring;87;128;12;5;4000;85598040816,33
unevenstring;87;128;12;6;4000;85598040816,33
unevenstring;87;128;12;7;4000;83886080000,00
unevenstring;87;128;12;8;4000;82241254901,96
unevenstring;87;128;12;9;4000;82241254901,96
unevenstring;87;128;12;10;4000;80659692307,69
unevenstring;87;128;12;11;4000;80659692307,69
unevenstring;87;128;12;12;4000;85598040816,33
unevenstring;87;128;12;13;4000;80659692307,69
unevenstring;87;128;12;14;4000;83886080000,00
unevenstring;87;128;12;15;4000;80659692307,69
unevenstring;87;128;12;16;4000;82241254901,96
unevenstring;87;128;12;17;4000;80659692307,69
unevenstring;87;128;12;18;4000;83886080000,00
unevenstring;87;128;12;19;4000;87381333333,33
unevenstring;87;128;12;20;4000;89240510638,30
unevenstring;87;128;12;21;4000;89240510638,30
unevenstring;87;128;12;22;4000;89240510638,30
unevenstring;87;128;12;23;4000;87381333333,33
unevenstring;87;128;12;24;4000;87381333333,33
unevenstring;87;128;12;25;4000;85598040816,33
unevenstring;87;128;12;26;4000;85598040816,33
unevenstring;87;128;12;27;4000;85598040816,33
unevenstring;87;128;12;28;4000;82241254901,96
unevenstring;87;128;12;29;4000;80659692307,69
unevenstring;87;128;12;30;4000;82241254901,96
unevenstring;87;160;9;1;4000;77672296296,30
unevenstring;87;160;9;2;4000;79137811320,75
unevenstring;87;160;9;3;4000;77672296296,30
unevenstring;87;160;9;4;4000;77672296296,30
unevenstring;87;160;9;5;4000;76260072727,27
unevenstring;87;160;9;6;4000;76260072727,27
unevenstring;87;160;9;7;4000;80659692307,69
unevenstring;87;160;9;8;4000;82241254901,96
unevenstring;87;160;9;9;4000;82241254901,96
unevenstring;87;160;9;10;4000;82241254901,96
unevenstring;87;160;9;11;4000;82241254901,96
unevenstring;87;160;9;12;4000;82241254901,96
unevenstring;87;160;9;13;4000;82241254901,96
unevenstring;87;160;9;14;4000;80659692307,69
unevenstring;87;160;9;15;4000;79137811320,75
unevenstring;87;160;9;16;4000;79137811320,75
unevenstring;87;160;9;17;4000;79137811320,75
unevenstring;87;160;9;18;4000;79137811320,75
unevenstring;87;160;9;19;4000;79137811320,75
unevenstring;87;160;9;20;4000;77672296296,30
unevenstring;87;160;9;21;4000;77672296296,30
unevenstring;87;160;9;22;4000;77672296296,30
unevenstring;87;160;9;23;4000;77672296296,30
unevenstring;87;160;9;24;4000;77672296296,30
unevenstring;87;160;9;25;4000;80659692307,69
unevenstring;87;160;9;26;4000;80659692307,69
unevenstring;87;160;9;27;4000;80659692307,69
unevenstring;87;160;9;28;4000;80659692307,69
unevenstring;87;160;9;29;4000;82241254901,96
unevenstring;87;160;9;30;4000;80659692307,69
unevenstring;87;192;8;1;4000;85598040816,33
unevenstring;87;192;8;2;4000;83886080000,00
unevenstring;87;192;8;3;4000;83886080000,00
unevenstring;87;192;8;4;4000;83886080000,00
unevenstring;87;192;8;5;4000;83886080000,00
unevenstring;87;192;8;6;4000;82241254901,96
unevenstring;87;192;8;7;4000;82241254901,96
unevenstring;87;192;8;8;4000;82241254901,96
unevenstring;87;192;8;9;4000;82241254901,96
unevenstring;87;192;8;10;4000;82241254901,96
unevenstring;87;192;8;11;4000;82241254901,96
unevenstring;87;192;8;12;4000;82241254901,96
unevenstring;87;192;8;13;4000;83886080000,00
unevenstring;87;192;8;14;4000;83886080000,00
unevenstring;87;192;8;15;4000;83886080000,00
unevenstring;87;192;8;16;4000;85598040816,33
unevenstring;87;192;8;17;4000;85598040816,33
unevenstring;87;192;8;18;4000;85598040816,33
unevenstring;87;192;8;19;4000;85598040816,33
unevenstring;87;192;8;20;4000;83886080000,00
unevenstring;87;192;8;21;4000;83886080000,00
unevenstring;87;192;8;22;4000;83886080000,00
unevenstring;87;192;8;23;4000;83886080000,00
unevenstring;87;192;8;24;4000;83886080000,00
unevenstring;87;192;8;25;4000;83886080000,00
unevenstring;87;192;8;26;4000;83886080000,00
unevenstring;87;192;8;27;4000;83886080000,00
unevenstring;87;192;8;28;4000;83886080000,00
unevenstring;87;192;8;29;4000;83886080000,00
unevenstring;87;192;8;30;4000;83886080000,00
unevenstring;87;224;6;1;4000;74898285714,29
unevenstring;87;224;6;2;4000;74898285714,29
unevenstring;87;224;6;3;4000;76260072727,27
unevenstring;87;224;6;4;4000;76260072727,27
unevenstring;87;224;6;5;4000;73584280701,75
unevenstring;87;224;6;6;4000;73584280701,75
unevenstring;87;224;6;7;4000;73584280701,75
unevenstring;87;224;6;8;4000;73584280701,75
unevenstring;87;224;6;9;4000;73584280701,75
unevenstring;87;224;6;10;4000;72315586206,90
