stringa cercata;limite shared mem;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;16;32;24;1;7000;183500800000,00
unevenstring;16;32;24;2;7000;183500800000,00
unevenstring;16;32;24;3;7000;183500800000,00
unevenstring;16;32;24;4;7000;183500800000,00
unevenstring;16;32;24;5;7000;183500800000,00
unevenstring;16;32;24;6;7000;183500800000,00
unevenstring;16;32;24;7;7000;188205948717,95
unevenstring;16;32;24;8;7000;179025170731,71
unevenstring;16;32;24;9;7000;183500800000,00
unevenstring;16;32;24;10;7000;183500800000,00
unevenstring;16;32;24;11;7000;183500800000,00
unevenstring;16;32;24;12;7000;183500800000,00
unevenstring;16;32;24;13;7000;183500800000,00
unevenstring;16;32;24;14;7000;183500800000,00
unevenstring;16;32;24;15;7000;183500800000,00
unevenstring;16;32;24;16;7000;183500800000,00
unevenstring;16;32;24;17;7000;170698418604,65
unevenstring;16;32;24;18;7000;143922196078,43
unevenstring;16;32;24;19;7000;128772491228,07
unevenstring;16;32;24;20;7000;126552275862,07
unevenstring;16;32;24;21;7000;133455127272,73
unevenstring;16;32;24;22;7000;146800640000,00
unevenstring;16;32;24;23;7000;159565913043,48
unevenstring;16;32;24;24;7000;170698418604,65
unevenstring;16;32;24;25;7000;163111822222,22
unevenstring;16;32;24;26;7000;159565913043,48
unevenstring;16;32;24;27;7000;166818909090,91
unevenstring;16;32;24;28;7000;174762666666,67
unevenstring;16;32;24;29;7000;179025170731,71
unevenstring;16;32;24;30;7000;179025170731,71
unevenstring;16;64;24;1;7000;236775225806,45
unevenstring;16;64;24;2;7000;209715200000,00
unevenstring;16;64;24;3;7000;222425212121,21
unevenstring;16;64;24;4;7000;229376000000,00
unevenstring;16;64;24;5;7000;215883294117,65
unevenstring;16;64;24;6;7000;215883294117,65
unevenstring;16;64;24;7;7000;215883294117,65
unevenstring;16;64;24;8;7000;215883294117,65
unevenstring;16;64;24;9;7000;203889777777,78
unevenstring;16;64;24;10;7000;179025170731,71
unevenstring;16;64;24;11;7000;183500800000,00
unevenstring;16;64;24;12;7000;174762666666,67
unevenstring;16;64;24;13;7000;159565913043,48
unevenstring;16;64;24;14;7000;179025170731,71
unevenstring;16;64;24;15;7000;193158736842,11
unevenstring;16;64;24;16;7000;193158736842,11
unevenstring;16;64;24;17;7000;193158736842,11
unevenstring;16;64;24;18;7000;193158736842,11
unevenstring;16;64;24;19;7000;193158736842,11
unevenstring;16;64;24;20;7000;198379243243,24
unevenstring;16;64;24;21;7000;203889777777,78
unevenstring;16;64;24;22;7000;203889777777,78
unevenstring;16;64;24;23;7000;209715200000,00
unevenstring;16;64;24;24;7000;209715200000,00
unevenstring;16;64;24;25;7000;209715200000,00
unevenstring;16;64;24;26;7000;209715200000,00
unevenstring;16;64;24;27;7000;209715200000,00
unevenstring;16;64;24;28;7000;215883294117,65
unevenstring;16;64;24;29;7000;222425212121,21
unevenstring;16;64;24;30;7000;209715200000,00
unevenstring;16;96;16;1;7000;209715200000,00
unevenstring;16;96;16;2;7000;215883294117,65
unevenstring;16;96;16;3;7000;209715200000,00
unevenstring;16;96;16;4;7000;236775225806,45
unevenstring;16;96;16;5;7000;215883294117,65
unevenstring;16;96;16;6;7000;209715200000,00
unevenstring;16;96;16;7;7000;198379243243,24
unevenstring;16;96;16;8;7000;198379243243,24
unevenstring;16;96;16;9;7000;198379243243,24
unevenstring;16;96;16;10;7000;198379243243,24
unevenstring;16;96;16;11;7000;198379243243,24
unevenstring;16;96;16;12;7000;198379243243,24
unevenstring;16;96;16;13;7000;198379243243,24
unevenstring;16;96;16;14;7000;203889777777,78
unevenstring;16;96;16;15;7000;209715200000,00
unevenstring;16;96;16;16;7000;209715200000,00
unevenstring;16;96;16;17;7000;209715200000,00
unevenstring;16;96;16;18;7000;209715200000,00
unevenstring;16;96;16;19;7000;209715200000,00
unevenstring;16;96;16;20;7000;215883294117,65
unevenstring;16;96;16;21;7000;209715200000,00
unevenstring;16;96;16;22;7000;215883294117,65
unevenstring;16;96;16;23;7000;215883294117,65
unevenstring;16;96;16;24;7000;215883294117,65
unevenstring;16;96;16;25;7000;215883294117,65
unevenstring;16;96;16;26;7000;209715200000,00
unevenstring;16;96;16;27;7000;174762666666,67
unevenstring;16;96;16;28;7000;193158736842,11
unevenstring;16;96;16;29;7000;198379243243,24
unevenstring;16;96;16;30;7000;203889777777,78
unevenstring;16;128;12;1;7000;198379243243,24
unevenstring;16;128;12;2;7000;198379243243,24
unevenstring;16;128;12;3;7000;198379243243,24
unevenstring;16;128;12;4;7000;198379243243,24
unevenstring;16;128;12;5;7000;198379243243,24
unevenstring;16;128;12;6;7000;198379243243,24
unevenstring;16;128;12;7;7000;203889777777,78
unevenstring;16;128;12;8;7000;203889777777,78
unevenstring;16;128;12;9;7000;203889777777,78
unevenstring;16;128;12;10;7000;203889777777,78
unevenstring;16;128;12;11;7000;203889777777,78
unevenstring;16;128;12;12;7000;203889777777,78
unevenstring;16;128;12;13;7000;209715200000,00
unevenstring;16;128;12;14;7000;209715200000,00
unevenstring;16;128;12;15;7000;209715200000,00
unevenstring;16;128;12;16;7000;209715200000,00
unevenstring;16;128;12;17;7000;215883294117,65
unevenstring;16;128;12;18;7000;209715200000,00
unevenstring;16;128;12;19;7000;209715200000,00
unevenstring;16;128;12;20;7000;203889777777,78
unevenstring;16;128;12;21;7000;198379243243,24
unevenstring;16;128;12;22;7000;198379243243,24
unevenstring;16;128;12;23;7000;203889777777,78
unevenstring;16;128;12;24;7000;198379243243,24
unevenstring;16;128;12;25;7000;198379243243,24
unevenstring;16;128;12;26;7000;198379243243,24
unevenstring;16;128;12;27;7000;198379243243,24
unevenstring;16;128;12;28;7000;209715200000,00
unevenstring;16;128;12;29;7000;215883294117,65
unevenstring;16;128;12;30;7000;222425212121,21
unevenstring;16;160;9;1;7000;203889777777,78
unevenstring;16;160;9;2;7000;209715200000,00
unevenstring;16;160;9;3;7000;209715200000,00
unevenstring;16;160;9;4;7000;209715200000,00
unevenstring;16;160;9;5;7000;215883294117,65
unevenstring;16;160;9;6;7000;222425212121,21
unevenstring;16;160;9;7;7000;215883294117,65
unevenstring;16;160;9;8;7000;215883294117,65
unevenstring;16;160;9;9;7000;215883294117,65
unevenstring;16;160;9;10;7000;222425212121,21
