stringa cercata;limite shared mem;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;87;32;21;1;4000;77672296296,30
unevenstring;87;32;21;2;4000;77672296296,30
unevenstring;87;32;21;3;4000;74898285714,29
unevenstring;87;32;21;4;4000;74898285714,29
unevenstring;87;32;21;5;4000;74898285714,29
unevenstring;87;32;21;6;4000;73584280701,75
unevenstring;87;32;21;7;4000;74898285714,29
unevenstring;87;32;21;8;4000;74898285714,29
unevenstring;87;32;21;9;4000;76260072727,27
unevenstring;87;32;21;10;4000;76260072727,27
unevenstring;87;32;21;11;4000;77672296296,30
unevenstring;87;32;21;12;4000;76260072727,27
unevenstring;87;32;21;13;4000;77672296296,30
unevenstring;87;32;21;14;4000;76260072727,27
unevenstring;87;32;21;15;4000;74898285714,29
unevenstring;87;32;21;16;4000;74898285714,29
unevenstring;87;32;21;17;4000;74898285714,29
unevenstring;87;32;21;18;4000;74898285714,29
unevenstring;87;32;21;19;4000;74898285714,29
unevenstring;87;32;21;20;4000;74898285714,29
unevenstring;87;32;21;21;4000;76260072727,27
unevenstring;87;32;21;22;4000;76260072727,27
unevenstring;87;32;21;23;4000;76260072727,27
unevenstring;87;32;21;24;4000;74898285714,29
unevenstring;87;32;21;25;4000;74898285714,29
unevenstring;87;32;21;26;4000;74898285714,29
unevenstring;87;32;21;27;4000;74898285714,29
unevenstring;87;32;21;28;4000;73584280701,75
unevenstring;87;32;21;29;4000;74898285714,29
unevenstring;87;32;21;30;4000;76260072727,27
unevenstring;87;64;21;1;4000;135300129032,26
unevenstring;87;64;21;2;4000;127100121212,12
unevenstring;87;64;21;3;4000;127100121212,12
unevenstring;87;64;21;4;4000;127100121212,12
unevenstring;87;64;21;5;4000;127100121212,12
unevenstring;87;64;21;6;4000;123361882352,94
unevenstring;87;64;21;7;4000;123361882352,94
unevenstring;87;64;21;8;4000;123361882352,94
unevenstring;87;64;21;9;4000;127100121212,12
unevenstring;87;64;21;10;4000;127100121212,12
unevenstring;87;64;21;11;4000;123361882352,94
unevenstring;87;64;21;12;4000;123361882352,94
unevenstring;87;64;21;13;4000;123361882352,94
unevenstring;87;64;21;14;4000;127100121212,12
unevenstring;87;64;21;15;4000;123361882352,94
unevenstring;87;64;21;16;4000;119837257142,86
unevenstring;87;64;21;17;4000;119837257142,86
unevenstring;87;64;21;18;4000;119837257142,86
unevenstring;87;64;21;19;4000;123361882352,94
unevenstring;87;64;21;20;4000;127100121212,12
unevenstring;87;64;21;21;4000;119837257142,86
unevenstring;87;64;21;22;4000;119837257142,86
unevenstring;87;64;21;23;4000;119837257142,86
