stringa cercata;limite shared mem;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;87;32;21;1;7000;74898285714,29
unevenstring;87;32;21;2;7000;73400320000,00
unevenstring;87;32;21;3;7000;72673584158,42
unevenstring;87;32;21;4;7000;73400320000,00
unevenstring;87;32;21;5;7000;73400320000,00
unevenstring;87;32;21;6;7000;74898285714,29
unevenstring;87;32;21;7;7000;74141737373,74
unevenstring;87;32;21;8;7000;73400320000,00
unevenstring;87;32;21;9;7000;71961098039,22
unevenstring;87;32;21;10;7000;73400320000,00
unevenstring;87;32;21;11;7000;74141737373,74
unevenstring;87;32;21;12;7000;74898285714,29
unevenstring;87;32;21;13;7000;74141737373,74
unevenstring;87;32;21;14;7000;74141737373,74
unevenstring;87;32;21;15;7000;74141737373,74
unevenstring;87;32;21;16;7000;74898285714,29
unevenstring;87;32;21;17;7000;74141737373,74
unevenstring;87;32;21;18;7000;74898285714,29
unevenstring;87;32;21;19;7000;74141737373,74
unevenstring;87;32;21;20;7000;74898285714,29
unevenstring;87;32;21;21;7000;74898285714,29
unevenstring;87;32;21;22;7000;75670432989,69
unevenstring;87;32;21;23;7000;74898285714,29
unevenstring;87;32;21;24;7000;74898285714,29
unevenstring;87;32;21;25;7000;74141737373,74
unevenstring;87;32;21;26;7000;74898285714,29
unevenstring;87;32;21;27;7000;74141737373,74
unevenstring;87;32;21;28;7000;74898285714,29
unevenstring;87;32;21;29;7000;74898285714,29
unevenstring;87;32;21;30;7000;74141737373,74
unevenstring;87;64;21;1;7000;126552275862,07
unevenstring;87;64;21;2;7000;122333866666,67
unevenstring;87;64;21;3;7000;122333866666,67
unevenstring;87;64;21;4;7000;120328393442,62
unevenstring;87;64;21;5;7000;122333866666,67
unevenstring;87;64;21;6;7000;122333866666,67
unevenstring;87;64;21;7;7000;120328393442,62
unevenstring;87;64;21;8;7000;122333866666,67
unevenstring;87;64;21;9;7000;120328393442,62
unevenstring;87;64;21;10;7000;122333866666,67
unevenstring;87;64;21;11;7000;120328393442,62
unevenstring;87;64;21;12;7000;122333866666,67
unevenstring;87;64;21;13;7000;122333866666,67
unevenstring;87;64;21;14;7000;122333866666,67
unevenstring;87;64;21;15;7000;122333866666,67
unevenstring;87;64;21;16;7000;120328393442,62
unevenstring;87;64;21;17;7000;120328393442,62
unevenstring;87;64;21;18;7000;126552275862,07
unevenstring;87;64;21;19;7000;126552275862,07
unevenstring;87;64;21;20;7000;128772491228,07
unevenstring;87;64;21;21;7000;124407322033,90
unevenstring;87;64;21;22;7000;124407322033,90
unevenstring;87;64;21;23;7000;124407322033,90
unevenstring;87;64;21;24;7000;126552275862,07
unevenstring;87;64;21;25;7000;124407322033,90
unevenstring;87;64;21;26;7000;126552275862,07
unevenstring;87;64;21;27;7000;124407322033,90
unevenstring;87;64;21;28;7000;126552275862,07
unevenstring;87;64;21;29;7000;126552275862,07
unevenstring;87;64;21;30;7000;124407322033,90
unevenstring;87;96;15;1;7000;118387612903,23
unevenstring;87;96;15;2;7000;122333866666,67
unevenstring;87;96;15;3;7000;120328393442,62
unevenstring;87;96;15;4;7000;122333866666,67
unevenstring;87;96;15;5;7000;122333866666,67
unevenstring;87;96;15;6;7000;120328393442,62
unevenstring;87;96;15;7;7000;120328393442,62
unevenstring;87;96;15;8;7000;120328393442,62
unevenstring;87;96;15;9;7000;122333866666,67
unevenstring;87;96;15;10;7000;120328393442,62
unevenstring;87;96;15;11;7000;120328393442,62
unevenstring;87;96;15;12;7000;120328393442,62
unevenstring;87;96;15;13;7000;122333866666,67
unevenstring;87;96;15;14;7000;122333866666,67
unevenstring;87;96;15;15;7000;122333866666,67
unevenstring;87;96;15;16;7000;122333866666,67
unevenstring;87;96;15;17;7000;118387612903,23
unevenstring;87;96;15;18;7000;122333866666,67
unevenstring;87;96;15;19;7000;122333866666,67
unevenstring;87;96;15;20;7000;120328393442,62
unevenstring;87;96;15;21;7000;120328393442,62
unevenstring;87;96;15;22;7000;122333866666,67
unevenstring;87;96;15;23;7000;118387612903,23
unevenstring;87;96;15;24;7000;122333866666,67
unevenstring;87;96;15;25;7000;122333866666,67
unevenstring;87;96;15;26;7000;118387612903,23
unevenstring;87;96;15;27;7000;122333866666,67
unevenstring;87;96;15;28;7000;120328393442,62
unevenstring;87;96;15;29;7000;122333866666,67
unevenstring;87;96;15;30;7000;122333866666,67
unevenstring;87;128;12;1;7000;193158736842,11
unevenstring;87;128;12;2;7000;193158736842,11
unevenstring;87;128;12;3;7000;193158736842,11
