stringa cercata;limite shared mem;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;96;32;20;1;4000;55924053333,33
unevenstring;96;32;20;2;4000;55924053333,33
unevenstring;96;32;20;3;4000;55188210526,32
unevenstring;96;32;20;4;4000;55188210526,32
unevenstring;96;32;20;5;4000;55188210526,32
unevenstring;96;32;20;6;4000;55924053333,33
unevenstring;96;32;20;7;4000;59074704225,35
unevenstring;96;32;20;8;4000;56679783783,78
unevenstring;96;32;20;9;4000;55924053333,33
unevenstring;96;32;20;10;4000;57456219178,08
unevenstring;96;32;20;11;4000;55188210526,32
unevenstring;96;32;20;12;4000;51150048780,49
unevenstring;96;32;20;13;4000;49932190476,19
unevenstring;96;32;20;14;4000;55924053333,33
unevenstring;96;32;20;15;4000;55924053333,33
unevenstring;96;32;20;16;4000;55924053333,33
unevenstring;96;32;20;17;4000;56679783783,78
unevenstring;96;32;20;18;4000;58254222222,22
unevenstring;96;32;20;19;4000;56679783783,78
unevenstring;96;32;20;20;4000;58254222222,22
unevenstring;96;32;20;21;4000;58254222222,22
unevenstring;96;32;20;22;4000;58254222222,22
unevenstring;96;32;20;23;4000;59074704225,35
unevenstring;96;32;20;24;4000;59074704225,35
unevenstring;96;32;20;25;4000;56679783783,78
unevenstring;96;32;20;26;4000;55924053333,33
unevenstring;96;32;20;27;4000;57456219178,08
unevenstring;96;32;20;28;4000;56679783783,78
unevenstring;96;32;20;29;4000;56679783783,78
unevenstring;96;32;20;30;4000;57456219178,08
unevenstring;96;64;20;1;4000;102300097560,98
unevenstring;96;64;20;2;4000;104857600000,00
unevenstring;96;64;20;3;4000;104857600000,00
unevenstring;96;64;20;4;4000;104857600000,00
unevenstring;96;64;20;5;4000;104857600000,00
unevenstring;96;64;20;6;4000;104857600000,00
unevenstring;96;64;20;7;4000;102300097560,98
unevenstring;96;64;20;8;4000;102300097560,98
unevenstring;96;64;20;9;4000;102300097560,98
unevenstring;96;64;20;10;4000;104857600000,00
