stringa cercata;limite shared mem;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;99;32;19;1;4000;83886080000,00
unevenstring;99;32;19;2;4000;83886080000,00
unevenstring;99;32;19;3;4000;83886080000,00
unevenstring;99;32;19;4;4000;82241254901,96
unevenstring;99;32;19;5;4000;83886080000,00
unevenstring;99;32;19;6;4000;83886080000,00
unevenstring;99;32;19;7;4000;82241254901,96
unevenstring;99;32;19;8;4000;83886080000,00
unevenstring;99;32;19;9;4000;82241254901,96
unevenstring;99;32;19;10;4000;83886080000,00
unevenstring;99;32;19;11;4000;82241254901,96
unevenstring;99;32;19;12;4000;82241254901,96
unevenstring;99;32;19;13;4000;85598040816,33
unevenstring;99;32;19;14;4000;82241254901,96
unevenstring;99;32;19;15;4000;83886080000,00
unevenstring;99;32;19;16;4000;77672296296,30
unevenstring;99;32;19;17;4000;69905066666,67
unevenstring;99;32;19;18;4000;73584280701,75
unevenstring;99;32;19;19;4000;77672296296,30
unevenstring;99;32;19;20;4000;79137811320,75
unevenstring;99;32;19;21;4000;80659692307,69
unevenstring;99;32;19;22;4000;82241254901,96
unevenstring;99;32;19;23;4000;82241254901,96
unevenstring;99;32;19;24;4000;83886080000,00
unevenstring;99;32;19;25;4000;82241254901,96
unevenstring;99;32;19;26;4000;82241254901,96
unevenstring;99;32;19;27;4000;83886080000,00
unevenstring;99;32;19;28;4000;82241254901,96
unevenstring;99;32;19;29;4000;83886080000,00
unevenstring;99;32;19;30;4000;82241254901,96
unevenstring;99;64;19;1;4000;144631172413,79
unevenstring;99;64;19;2;4000;135300129032,26
unevenstring;99;64;19;3;4000;135300129032,26
unevenstring;99;64;19;4;4000;131072000000,00
unevenstring;99;64;19;5;4000;131072000000,00
unevenstring;99;64;19;6;4000;123361882352,94
unevenstring;99;64;19;7;4000;119837257142,86
unevenstring;99;64;19;8;4000;119837257142,86
unevenstring;99;64;19;9;4000;123361882352,94
unevenstring;99;64;19;10;4000;119837257142,86
unevenstring;99;64;19;11;4000;119837257142,86
unevenstring;99;64;19;12;4000;123361882352,94
unevenstring;99;64;19;13;4000;127100121212,12
unevenstring;99;64;19;14;4000;127100121212,12
unevenstring;99;64;19;15;4000;127100121212,12
unevenstring;99;64;19;16;4000;127100121212,12
unevenstring;99;64;19;17;4000;127100121212,12
unevenstring;99;64;19;18;4000;131072000000,00
unevenstring;99;64;19;19;4000;131072000000,00
unevenstring;99;64;19;20;4000;123361882352,94
unevenstring;99;64;19;21;4000;131072000000,00
unevenstring;99;64;19;22;4000;131072000000,00
unevenstring;99;64;19;23;4000;131072000000,00
unevenstring;99;64;19;24;4000;135300129032,26
unevenstring;99;64;19;25;4000;131072000000,00
unevenstring;99;64;19;26;4000;131072000000,00
unevenstring;99;64;19;27;4000;135300129032,26
unevenstring;99;64;19;28;4000;135300129032,26
unevenstring;99;64;19;29;4000;135300129032,26
unevenstring;99;64;19;30;4000;131072000000,00
unevenstring;99;96;13;1;4000;131072000000,00
unevenstring;99;96;13;2;4000;131072000000,00
unevenstring;99;96;13;3;4000;127100121212,12
unevenstring;99;96;13;4;4000;131072000000,00
unevenstring;99;96;13;5;4000;127100121212,12
