stringa cercata;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;96;1;1;2000;23301688888,89
unevenstring;96;1;2;2000;23301688888,89
unevenstring;96;1;3;2000;23301688888,89
unevenstring;96;1;4;2000;23301688888,89
unevenstring;96;1;5;2000;23301688888,89
unevenstring;96;1;6;2000;23301688888,89
unevenstring;96;1;7;2000;23301688888,89
unevenstring;96;1;8;2000;23301688888,89
unevenstring;96;1;9;2000;23301688888,89
unevenstring;96;1;10;2000;23301688888,89
unevenstring;96;1;11;2000;23301688888,89
unevenstring;96;1;12;2000;23301688888,89
unevenstring;96;1;13;2000;23301688888,89
unevenstring;96;1;14;2000;23301688888,89
unevenstring;96;1;15;2000;23301688888,89
unevenstring;96;1;16;2000;23301688888,89
unevenstring;96;1;17;2000;23301688888,89
unevenstring;96;1;18;2000;23301688888,89
unevenstring;96;1;19;2000;23301688888,89
unevenstring;96;1;20;2000;23301688888,89
unevenstring;96;1;21;2000;23301688888,89
unevenstring;96;1;22;2000;23301688888,89
unevenstring;96;1;23;2000;23301688888,89
unevenstring;96;1;24;2000;23301688888,89
unevenstring;96;1;25;2000;23301688888,89
unevenstring;96;1;26;2000;23301688888,89
unevenstring;96;1;27;2000;23301688888,89
unevenstring;96;1;28;2000;23301688888,89
unevenstring;96;1;29;2000;23301688888,89
unevenstring;96;1;30;2000;23301688888,89
unevenstring;96;2;1;2000;45590260869,57
unevenstring;96;2;2;2000;45590260869,57
unevenstring;96;2;3;2000;45590260869,57
unevenstring;96;2;4;2000;45590260869,57
unevenstring;96;2;5;2000;45590260869,57
unevenstring;96;2;6;2000;45590260869,57
unevenstring;96;2;7;2000;45590260869,57
unevenstring;96;2;8;2000;45590260869,57
unevenstring;96;2;9;2000;45590260869,57
unevenstring;96;2;10;2000;45590260869,57
unevenstring;96;2;11;2000;45590260869,57
unevenstring;96;2;12;2000;45590260869,57
unevenstring;96;2;13;2000;45590260869,57
unevenstring;96;2;14;2000;45590260869,57
unevenstring;96;2;15;2000;45590260869,57
unevenstring;96;2;16;2000;45590260869,57
unevenstring;96;2;17;2000;45590260869,57
unevenstring;96;2;18;2000;45590260869,57
unevenstring;96;2;19;2000;45590260869,57
unevenstring;96;2;20;2000;45590260869,57
unevenstring;96;2;21;2000;45590260869,57
unevenstring;96;2;22;2000;45590260869,57
unevenstring;96;2;23;2000;45590260869,57
unevenstring;96;2;24;2000;45590260869,57
unevenstring;96;2;25;2000;45590260869,57
unevenstring;96;2;26;2000;45590260869,57
unevenstring;96;2;27;2000;45590260869,57
unevenstring;96;2;28;2000;45590260869,57
unevenstring;96;2;29;2000;45590260869,57
unevenstring;96;2;30;2000;45590260869,57
unevenstring;96;3;1;2000;67650064516,13
unevenstring;96;3;2;2000;67650064516,13
unevenstring;96;3;3;2000;67650064516,13
unevenstring;96;3;4;2000;67650064516,13
unevenstring;96;3;5;2000;67650064516,13
unevenstring;96;3;6;2000;67650064516,13
unevenstring;96;3;7;2000;67650064516,13
unevenstring;96;3;8;2000;67650064516,13
unevenstring;96;3;9;2000;67650064516,13
unevenstring;96;3;10;2000;67650064516,13
unevenstring;96;3;11;2000;67650064516,13
unevenstring;96;3;12;2000;67650064516,13
unevenstring;96;3;13;2000;67650064516,13
unevenstring;96;3;14;2000;67650064516,13
unevenstring;96;3;15;2000;67650064516,13
unevenstring;96;3;16;2000;67650064516,13
unevenstring;96;3;17;2000;67650064516,13
unevenstring;96;3;18;2000;67650064516,13
unevenstring;96;3;19;2000;67650064516,13
unevenstring;96;3;20;2000;65536000000,00
unevenstring;96;3;21;2000;67650064516,13
unevenstring;96;3;22;2000;65536000000,00
unevenstring;96;3;23;2000;65536000000,00
unevenstring;96;3;24;2000;63550060606,06
unevenstring;96;3;25;2000;65536000000,00
unevenstring;96;3;26;2000;65536000000,00
unevenstring;96;3;27;2000;65536000000,00
unevenstring;96;3;28;2000;65536000000,00
unevenstring;96;3;29;2000;65536000000,00
unevenstring;96;3;30;2000;67650064516,13
unevenstring;96;4;1;2000;91180521739,13
unevenstring;96;4;2;2000;87381333333,33
unevenstring;96;4;3;2000;87381333333,33
unevenstring;96;4;4;2000;87381333333,33
unevenstring;96;4;5;2000;87381333333,33
unevenstring;96;4;6;2000;87381333333,33
unevenstring;96;4;7;2000;87381333333,33
unevenstring;96;4;8;2000;87381333333,33
unevenstring;96;4;9;2000;87381333333,33
unevenstring;96;4;10;2000;87381333333,33
unevenstring;96;4;11;2000;91180521739,13
unevenstring;96;4;12;2000;87381333333,33
unevenstring;96;4;13;2000;87381333333,33
unevenstring;96;4;14;2000;91180521739,13
unevenstring;96;4;15;2000;87381333333,33
unevenstring;96;4;16;2000;91180521739,13
unevenstring;96;4;17;2000;91180521739,13
unevenstring;96;4;18;2000;91180521739,13
unevenstring;96;4;19;2000;87381333333,33
unevenstring;96;4;20;2000;87381333333,33
unevenstring;96;4;21;2000;87381333333,33
unevenstring;96;4;22;2000;87381333333,33
unevenstring;96;4;23;2000;87381333333,33
unevenstring;96;4;24;2000;87381333333,33
unevenstring;96;4;25;2000;87381333333,33
unevenstring;96;4;26;2000;83886080000,00
unevenstring;96;4;27;2000;83886080000,00
unevenstring;96;4;28;2000;87381333333,33
unevenstring;96;4;29;2000;83886080000,00
unevenstring;96;4;30;2000;83886080000,00
unevenstring;96;5;1;2000;104857600000,00
unevenstring;96;5;2;2000;99864380952,38
unevenstring;96;5;3;2000;99864380952,38
unevenstring;96;5;4;2000;99864380952,38
unevenstring;96;5;5;2000;99864380952,38
unevenstring;96;5;6;2000;99864380952,38
unevenstring;96;5;7;2000;99864380952,38
unevenstring;96;5;8;2000;99864380952,38
unevenstring;96;5;9;2000;99864380952,38
unevenstring;96;5;10;2000;99864380952,38
unevenstring;96;5;11;2000;99864380952,38
unevenstring;96;5;12;2000;104857600000,00
unevenstring;96;5;13;2000;104857600000,00
unevenstring;96;5;14;2000;104857600000,00
unevenstring;96;5;15;2000;104857600000,00
unevenstring;96;5;16;2000;104857600000,00
unevenstring;96;5;17;2000;104857600000,00
unevenstring;96;5;18;2000;104857600000,00
unevenstring;96;5;19;2000;104857600000,00
unevenstring;96;5;20;2000;104857600000,00
unevenstring;96;5;21;2000;104857600000,00
unevenstring;96;5;22;2000;104857600000,00
unevenstring;96;5;23;2000;104857600000,00
unevenstring;96;5;24;2000;104857600000,00
unevenstring;96;5;25;2000;104857600000,00
unevenstring;96;5;26;2000;104857600000,00
unevenstring;96;5;27;2000;104857600000,00
unevenstring;96;5;28;2000;104857600000,00
unevenstring;96;5;29;2000;104857600000,00
unevenstring;96;5;30;2000;104857600000,00
unevenstring;96;6;1;2000;123361882352,94
unevenstring;96;6;2;2000;123361882352,94
unevenstring;96;6;3;2000;123361882352,94
unevenstring;96;6;4;2000;123361882352,94
unevenstring;96;6;5;2000;116508444444,44
unevenstring;96;6;6;2000;116508444444,44
unevenstring;96;6;7;2000;116508444444,44
unevenstring;96;6;8;2000;116508444444,44
unevenstring;96;6;9;2000;116508444444,44
unevenstring;96;6;10;2000;116508444444,44
unevenstring;96;6;11;2000;116508444444,44
unevenstring;96;6;12;2000;116508444444,44
unevenstring;96;6;13;2000;116508444444,44
unevenstring;96;6;14;2000;116508444444,44
unevenstring;96;6;15;2000;116508444444,44
unevenstring;96;6;16;2000;116508444444,44
unevenstring;96;6;17;2000;116508444444,44
unevenstring;96;6;18;2000;116508444444,44
unevenstring;96;6;19;2000;116508444444,44
unevenstring;96;6;20;2000;116508444444,44
unevenstring;96;6;21;2000;116508444444,44
unevenstring;96;6;22;2000;116508444444,44
unevenstring;96;6;23;2000;116508444444,44
unevenstring;96;6;24;2000;116508444444,44
unevenstring;96;6;25;2000;116508444444,44
unevenstring;96;6;26;2000;116508444444,44
unevenstring;96;6;27;2000;116508444444,44
unevenstring;96;6;28;2000;110376421052,63
unevenstring;96;6;29;2000;116508444444,44
unevenstring;96;6;30;2000;116508444444,44
unevenstring;96;7;1;2000;131072000000,00
unevenstring;96;7;2;2000;131072000000,00
unevenstring;96;7;3;2000;131072000000,00
unevenstring;96;7;4;2000;131072000000,00
unevenstring;96;7;5;2000;131072000000,00
unevenstring;96;7;6;2000;131072000000,00
unevenstring;96;7;7;2000;131072000000,00
unevenstring;96;7;8;2000;131072000000,00
unevenstring;96;7;9;2000;131072000000,00
unevenstring;96;7;10;2000;139810133333,33
unevenstring;96;7;11;2000;131072000000,00
unevenstring;96;7;12;2000;131072000000,00
unevenstring;96;7;13;2000;131072000000,00
unevenstring;96;7;14;2000;131072000000,00
unevenstring;96;7;15;2000;131072000000,00
unevenstring;96;7;16;2000;131072000000,00
unevenstring;96;7;17;2000;131072000000,00
unevenstring;96;7;18;2000;131072000000,00
unevenstring;96;7;19;2000;139810133333,33
unevenstring;96;7;20;2000;131072000000,00
unevenstring;96;7;21;2000;131072000000,00
unevenstring;96;7;22;2000;131072000000,00
unevenstring;96;7;23;2000;131072000000,00
unevenstring;96;7;24;2000;131072000000,00
unevenstring;96;7;25;2000;131072000000,00
unevenstring;96;7;26;2000;131072000000,00
unevenstring;96;7;27;2000;131072000000,00
unevenstring;96;7;28;2000;131072000000,00
unevenstring;96;7;29;2000;131072000000,00
unevenstring;96;7;30;2000;131072000000,00
unevenstring;96;8;1;2000;149796571428,57
unevenstring;96;8;2;2000;149796571428,57
unevenstring;96;8;3;2000;139810133333,33
unevenstring;96;8;4;2000;139810133333,33
unevenstring;96;8;5;2000;139810133333,33
unevenstring;96;8;6;2000;139810133333,33
unevenstring;96;8;7;2000;139810133333,33
unevenstring;96;8;8;2000;139810133333,33
unevenstring;96;8;9;2000;139810133333,33
unevenstring;96;8;10;2000;139810133333,33
unevenstring;96;8;11;2000;149796571428,57
unevenstring;96;8;12;2000;139810133333,33
unevenstring;96;8;13;2000;139810133333,33
unevenstring;96;8;14;2000;139810133333,33
unevenstring;96;8;15;2000;139810133333,33
unevenstring;96;8;16;2000;139810133333,33
unevenstring;96;8;17;2000;139810133333,33
unevenstring;96;8;18;2000;139810133333,33
unevenstring;96;8;19;2000;139810133333,33
unevenstring;96;8;20;2000;149796571428,57
unevenstring;96;8;21;2000;139810133333,33
unevenstring;96;8;22;2000;139810133333,33
unevenstring;96;8;23;2000;139810133333,33
unevenstring;96;8;24;2000;139810133333,33
unevenstring;96;8;25;2000;139810133333,33
unevenstring;96;8;26;2000;139810133333,33
unevenstring;96;8;27;2000;139810133333,33
unevenstring;96;8;28;2000;139810133333,33
unevenstring;96;8;29;2000;139810133333,33
unevenstring;96;8;30;2000;139810133333,33
unevenstring;96;9;1;2000;149796571428,57
unevenstring;96;9;2;2000;149796571428,57
unevenstring;96;9;3;2000;149796571428,57
unevenstring;96;9;4;2000;149796571428,57
unevenstring;96;9;5;2000;149796571428,57
unevenstring;96;9;6;2000;149796571428,57
unevenstring;96;9;7;2000;149796571428,57
unevenstring;96;9;8;2000;149796571428,57
unevenstring;96;9;9;2000;149796571428,57
unevenstring;96;9;10;2000;149796571428,57
unevenstring;96;9;11;2000;149796571428,57
unevenstring;96;9;12;2000;149796571428,57
unevenstring;96;9;13;2000;149796571428,57
unevenstring;96;9;14;2000;149796571428,57
unevenstring;96;9;15;2000;149796571428,57
unevenstring;96;9;16;2000;149796571428,57
unevenstring;96;9;17;2000;149796571428,57
unevenstring;96;9;18;2000;149796571428,57
unevenstring;96;9;19;2000;149796571428,57
unevenstring;96;9;20;2000;149796571428,57
unevenstring;96;9;21;2000;149796571428,57
unevenstring;96;9;22;2000;149796571428,57
unevenstring;96;9;23;2000;149796571428,57
unevenstring;96;9;24;2000;139810133333,33
unevenstring;96;9;25;2000;149796571428,57
unevenstring;96;9;26;2000;149796571428,57
unevenstring;96;9;27;2000;149796571428,57
unevenstring;96;9;28;2000;149796571428,57
unevenstring;96;9;29;2000;149796571428,57
unevenstring;96;9;30;2000;149796571428,57
unevenstring;96;10;1;2000;161319384615,38
unevenstring;96;10;2;2000;161319384615,38
unevenstring;96;10;3;2000;161319384615,38
unevenstring;96;10;4;2000;161319384615,38
unevenstring;96;10;5;2000;161319384615,38
unevenstring;96;10;6;2000;161319384615,38
unevenstring;96;10;7;2000;161319384615,38
unevenstring;96;10;8;2000;161319384615,38
unevenstring;96;10;9;2000;149796571428,57
unevenstring;96;10;10;2000;161319384615,38
unevenstring;96;10;11;2000;161319384615,38
unevenstring;96;10;12;2000;161319384615,38
unevenstring;96;10;13;2000;149796571428,57
unevenstring;96;10;14;2000;161319384615,38
unevenstring;96;10;15;2000;161319384615,38
unevenstring;96;10;16;2000;161319384615,38
unevenstring;96;10;17;2000;161319384615,38
unevenstring;96;10;18;2000;161319384615,38
unevenstring;96;10;19;2000;161319384615,38
unevenstring;96;10;20;2000;161319384615,38
unevenstring;96;10;21;2000;161319384615,38
unevenstring;96;10;22;2000;161319384615,38
unevenstring;96;10;23;2000;161319384615,38
unevenstring;96;10;24;2000;161319384615,38
unevenstring;96;10;25;2000;161319384615,38
unevenstring;96;10;26;2000;161319384615,38
unevenstring;96;10;27;2000;161319384615,38
unevenstring;96;10;28;2000;149796571428,57
unevenstring;96;10;29;2000;161319384615,38
unevenstring;96;10;30;2000;161319384615,38
unevenstring;96;11;1;2000;174762666666,67
unevenstring;96;11;2;2000;174762666666,67
unevenstring;96;11;3;2000;161319384615,38
unevenstring;96;11;4;2000;161319384615,38
unevenstring;96;11;5;2000;161319384615,38
unevenstring;96;11;6;2000;161319384615,38
unevenstring;96;11;7;2000;161319384615,38
unevenstring;96;11;8;2000;161319384615,38
unevenstring;96;11;9;2000;161319384615,38
unevenstring;96;11;10;2000;161319384615,38
unevenstring;96;11;11;2000;161319384615,38
unevenstring;96;11;12;2000;161319384615,38
unevenstring;96;11;13;2000;174762666666,67
unevenstring;96;11;14;2000;174762666666,67
unevenstring;96;11;15;2000;161319384615,38
unevenstring;96;11;16;2000;161319384615,38
unevenstring;96;11;17;2000;161319384615,38
unevenstring;96;11;18;2000;174762666666,67
unevenstring;96;11;19;2000;161319384615,38
unevenstring;96;11;20;2000;174762666666,67
unevenstring;96;11;21;2000;174762666666,67
unevenstring;96;11;22;2000;174762666666,67
unevenstring;96;11;23;2000;161319384615,38
unevenstring;96;11;24;2000;174762666666,67
unevenstring;96;11;25;2000;174762666666,67
unevenstring;96;11;26;2000;161319384615,38
unevenstring;96;11;27;2000;161319384615,38
unevenstring;96;11;28;2000;174762666666,67
unevenstring;96;11;29;2000;174762666666,67
unevenstring;96;11;30;2000;174762666666,67
unevenstring;96;12;1;2000;174762666666,67
unevenstring;96;12;2;2000;174762666666,67
unevenstring;96;12;3;2000;190650181818,18
unevenstring;96;12;4;2000;174762666666,67
unevenstring;96;12;5;2000;174762666666,67
unevenstring;96;12;6;2000;174762666666,67
unevenstring;96;12;7;2000;174762666666,67
unevenstring;96;12;8;2000;174762666666,67
unevenstring;96;12;9;2000;174762666666,67
unevenstring;96;12;10;2000;174762666666,67
unevenstring;96;12;11;2000;174762666666,67
unevenstring;96;12;12;2000;174762666666,67
unevenstring;96;12;13;2000;174762666666,67
unevenstring;96;12;14;2000;174762666666,67
unevenstring;96;12;15;2000;174762666666,67
unevenstring;96;12;16;2000;174762666666,67
unevenstring;96;12;17;2000;174762666666,67
unevenstring;96;12;18;2000;174762666666,67
unevenstring;96;12;19;2000;174762666666,67
unevenstring;96;12;20;2000;174762666666,67
unevenstring;96;12;21;2000;174762666666,67
unevenstring;96;12;22;2000;174762666666,67
unevenstring;96;12;23;2000;174762666666,67
unevenstring;96;12;24;2000;174762666666,67
unevenstring;96;12;25;2000;174762666666,67
unevenstring;96;12;26;2000;174762666666,67
unevenstring;96;12;27;2000;174762666666,67
unevenstring;96;12;28;2000;174762666666,67
unevenstring;96;12;29;2000;174762666666,67
unevenstring;96;12;30;2000;174762666666,67
unevenstring;96;13;1;2000;174762666666,67
unevenstring;96;13;2;2000;174762666666,67
unevenstring;96;13;3;2000;174762666666,67
unevenstring;96;13;4;2000;174762666666,67
unevenstring;96;13;5;2000;174762666666,67
unevenstring;96;13;6;2000;174762666666,67
unevenstring;96;13;7;2000;174762666666,67
unevenstring;96;13;8;2000;174762666666,67
unevenstring;96;13;9;2000;174762666666,67
unevenstring;96;13;10;2000;174762666666,67
unevenstring;96;13;11;2000;174762666666,67
unevenstring;96;13;12;2000;174762666666,67
unevenstring;96;13;13;2000;174762666666,67
unevenstring;96;13;14;2000;174762666666,67
unevenstring;96;13;15;2000;174762666666,67
unevenstring;96;13;16;2000;190650181818,18
unevenstring;96;13;17;2000;174762666666,67
