thread;iterazione;durata 
1;1;1.57562e+09 
1;2;1.63584e+09 
1;3;1.63584e+09 
1;4;1.63584e+09 
1;5;1.61568e+09 
2;1;3.13476e+09 
2;2;3.18716e+09 
2;3;3.1679e+09 
2;4;3.19201e+09 
2;5;3.1775e+09 
3;1;4.56896e+09 
3;2;4.63972e+09 
3;3;4.58895e+09 
3;4;4.59902e+09 
3;5;4.62947e+09 
4;1;5.77728e+09 
4;2;5.63751e+09 
4;3;5.47559e+09 
4;4;5.89088e+09 
4;5;5.87438e+09 
5;1;6.83111e+09 
5;2;6.83111e+09 
5;3;6.7869e+09 
5;4;6.24152e+09 
5;5;6.61562e+09 
6;1;7.28178e+09 
6;2;7.48983e+09 
6;3;7.46317e+09 
6;4;6.7869e+09 
6;5;7.30715e+09 
7;1;7.82519e+09 
7;2;8.06597e+09 
7;3;8.45626e+09 
7;4;7.54371e+09 
7;5;8.09711e+09 
8;1;8.81156e+09 
8;2;8.4223e+09 
8;3;8.45626e+09 
8;4;8.84874e+09 
8;5;8.5598e+09 
9;1;8.49049e+09 
9;2;1.00825e+10 
9;3;8.63026e+09 
9;4;9.11805e+09 
9;5;8.49049e+09 
10;1;9.44663e+09 
10;2;8.5598e+09 
10;3;8.92405e+09 
10;4;8.66592e+09 
10;5;9.7542e+09 
11;1;9.70904e+09 
11;2;9.79978e+09 
11;3;9.7542e+09 
11;4;9.32068e+09 
11;5;9.36229e+09 
12;1;9.23856e+09 
12;2;1.03308e+10 
12;3;1.06998e+10 
12;4;9.7542e+09 
12;5;9.70904e+09 
13;1;1.02802e+10 
13;2;1.12147e+10 
13;3;9.84578e+09 
13;4;9.53251e+09 
13;5;9.79978e+09 
14;1;1.1275e+10 
14;2;1.09227e+10 
14;3;1.01803e+10 
14;4;9.44663e+09 
14;5;1.04336e+10 
15;1;9.79978e+09 
15;2;9.70904e+09 
15;3;1.2264e+10 
15;4;9.70904e+09 
15;5;9.11805e+09 
16;1;1.05385e+10 
16;2;9.66429e+09 
16;3;9.79978e+09 
16;4;1.03819e+10 
16;5;1.05385e+10 
