thread;iterazione;durata 
1;1;6.521e+08 
1;2;6.48069e+08 
1;3;6.521e+08 
1;4;6.54338e+08 
1;5;6.50683e+08 
2;1;1.30258e+09 
2;2;1.3042e+09 
2;3;1.28897e+09 
2;4;1.29935e+09 
2;5;1.3042e+09 
3;1;1.93464e+09 
3;2;1.94001e+09 
3;3;1.92399e+09 
3;4;1.94361e+09 
3;5;1.94001e+09 
4;1;2.42726e+09 
4;2;2.49661e+09 
4;3;2.49661e+09 
4;4;2.42726e+09 
4;5;2.49959e+09 
5;1;2.89262e+09 
5;2;2.97891e+09 
5;3;2.94131e+09 
5;4;2.97047e+09 
5;5;2.9249e+09 
6;1;3.1775e+09 
6;2;3.26659e+09 
6;3;3.2514e+09 
6;4;3.29223e+09 
6;5;3.24637e+09 
7;1;3.59717e+09 
7;2;3.59101e+09 
7;3;3.53651e+09 
7;4;3.54249e+09 
7;5;3.58488e+09 
8;1;3.86928e+09 
8;2;3.89082e+09 
8;3;3.67277e+09 
8;4;3.94944e+09 
8;5;3.77865e+09 
9;1;3.86928e+09 
9;2;3.85506e+09 
9;3;3.90531e+09 
9;4;3.88361e+09 
9;5;3.89805e+09 
10;1;4.0022e+09 
10;2;4.2799e+09 
10;3;4.2625e+09 
10;4;4.35998e+09 
10;5;4.15278e+09 
11;1;4.47154e+09 
11;2;4.50033e+09 
11;3;4.46203e+09 
11;4;4.44312e+09 
11;5;4.42437e+09 
12;1;4.52949e+09 
12;2;4.67072e+09 
12;3;4.44312e+09 
12;4;4.61928e+09 
12;5;4.59902e+09 
13;1;4.68114e+09 
13;2;4.68114e+09 
13;3;4.89989e+09 
13;4;4.82104e+09 
13;5;4.65e+09 
14;1;4.99322e+09 
14;2;4.95781e+09 
14;3;4.85452e+09 
14;4;4.88847e+09 
14;5;4.85452e+09 
15;1;5.09017e+09 
15;2;5.14008e+09 
15;3;5.2168e+09 
15;4;5.26923e+09 
15;5;5.10256e+09 
16;1;5.54802e+09 
16;2;5.17815e+09 
16;3;5.36356e+09 
16;4;5.22981e+09 
16;5;5.33626e+09 
