thread;rep;throughput;target_string;file_size 
1;1;1.1919e+09;------------;4000 
1;2;1.20077e+09;------------;4000 
1;3;1.09284e+09;------------;4000 
1;4;1.26487e+09;------------;4000 
1;5;1.22176e+09;------------;4000 
1;6;1.24129e+09;------------;4000 
1;7;1.24942e+09;------------;4000 
1;8;1.25842e+09;------------;4000 
1;9;1.25879e+09;------------;4000 
1;10;1.25691e+09;------------;4000 
2;1;2.44139e+09;------------;4000 
2;2;2.4716e+09;------------;4000 
2;3;2.53892e+09;------------;4000 
2;4;2.54046e+09;------------;4000 
2;5;2.54663e+09;------------;4000 
2;6;2.53126e+09;------------;4000 
2;7;2.52517e+09;------------;4000 
2;8;2.542e+09;------------;4000 
2;9;2.54354e+09;------------;4000 
2;10;2.55283e+09;------------;4000 
3;1;3.78547e+09;------------;4000 
3;2;3.80608e+09;------------;4000 
3;3;3.82692e+09;------------;4000 
3;4;3.83392e+09;------------;4000 
3;5;3.81995e+09;------------;4000 
3;6;3.85861e+09;------------;4000 
3;7;3.86216e+09;------------;4000 
3;8;3.85861e+09;------------;4000 
3;9;3.85861e+09;------------;4000 
3;10;3.84446e+09;------------;4000 
4;1;4.78256e+09;------------;4000 
4;2;4.80998e+09;------------;4000 
4;3;4.75006e+09;------------;4000 
4;4;4.56399e+09;------------;4000 
4;5;4.67072e+09;------------;4000 
4;6;4.19011e+09;------------;4000 
4;7;4.70741e+09;------------;4000 
4;8;4.79897e+09;------------;4000 
4;9;4.8155e+09;------------;4000 
4;10;4.56896e+09;------------;4000 
5;1;5.39114e+09;------------;4000 
5;2;5.32948e+09;------------;4000 
5;3;5.24944e+09;------------;4000 
5;4;5.36356e+09;------------;4000 
5;5;5.50434e+09;------------;4000 
5;6;5.27585e+09;------------;4000 
5;7;5.39807e+09;------------;4000 
5;8;5.51882e+09;------------;4000 
5;9;5.37043e+09;------------;4000 
5;10;4.67592e+09;------------;4000 
6;1;5.93254e+09;------------;4000 
6;2;5.99186e+09;------------;4000 
6;3;5.99186e+09;------------;4000 
6;4;5.70654e+09;------------;4000 
6;5;5.61486e+09;------------;4000 
6;6;5.99186e+09;------------;4000 
6;7;6.141e+09;------------;4000 
6;8;5.97479e+09;------------;4000 
6;9;6.01765e+09;------------;4000 
6;10;6.08752e+09;------------;4000 
7;1;5.80125e+09;------------;4000 
7;2;5.9158e+09;------------;4000 
7;3;5.09017e+09;------------;4000 
7;4;5.81734e+09;------------;4000 
7;5;5.81734e+09;------------;4000 
7;6;5.48993e+09;------------;4000 
7;7;5.54802e+09;------------;4000 
7;8;5.77728e+09;------------;4000 
7;9;6.00043e+09;------------;4000 
7;10;5.48275e+09;------------;4000 
8;1;5.46845e+09;------------;4000 
8;2;5.59987e+09;------------;4000 
8;3;5.55537e+09;------------;4000 
8;4;5.83352e+09;------------;4000 
8;5;5.59241e+09;------------;4000 
8;6;5.39114e+09;------------;4000 
8;7;5.35671e+09;------------;4000 
8;8;5.89916e+09;------------;4000 
8;9;5.89916e+09;------------;4000 
8;10;5.48275e+09;------------;4000 
9;1;5.8498e+09;------------;4000 
9;2;6.15001e+09;------------;4000 
9;3;5.81734e+09;------------;4000 
9;4;5.85797e+09;------------;4000 
9;5;6.05239e+09;------------;4000 
9;6;6.04367e+09;------------;4000 
9;7;5.63751e+09;------------;4000 
9;8;6.38402e+09;------------;4000 
9;9;5.33626e+09;------------;4000 
9;10;5.93254e+09;------------;4000 
10;1;6.53318e+09;------------;4000 
10;2;6.52302e+09;------------;4000 
10;3;6.39376e+09;------------;4000 
10;4;6.08752e+09;------------;4000 
10;5;6.2789e+09;------------;4000 
10;6;6.08752e+09;------------;4000 
10;7;5.90747e+09;------------;4000 
10;8;6.0263e+09;------------;4000 
10;9;6.11415e+09;------------;4000 
10;10;5.76933e+09;------------;4000 
11;1;5.94937e+09;------------;4000 
11;2;6.4827e+09;------------;4000 
11;3;6.37432e+09;------------;4000 
11;4;6.30722e+09;------------;4000 
11;5;6.09637e+09;------------;4000 
11;6;6.49273e+09;------------;4000 
11;7;5.80125e+09;------------;4000 
11;8;6.20459e+09;------------;4000 
11;9;6.2789e+09;------------;4000 
11;10;6.29775e+09;------------;4000 
12;1;6.12307e+09;------------;4000 
12;2;6.33581e+09;------------;4000 
12;3;6.09637e+09;------------;4000 
12;4;6.58446e+09;------------;4000 
12;5;5.6527e+09;------------;4000 
12;6;5.33626e+09;------------;4000 
12;7;6.39376e+09;------------;4000 
12;8;6.21378e+09;------------;4000 
12;9;6.15001e+09;------------;4000 
12;10;6.03497e+09;------------;4000 
13;1;6.47269e+09;------------;4000 
13;2;6.67883e+09;------------;4000 
13;3;6.75411e+09;------------;4000 
13;4;6.53318e+09;------------;4000 
13;5;6.59482e+09;------------;4000 
13;6;6.24152e+09;------------;4000 
13;7;6.20459e+09;------------;4000 
13;8;6.0699e+09;------------;4000 
13;9;6.64707e+09;------------;4000 
13;10;6.64707e+09;------------;4000 
14;1;6.68948e+09;------------;4000 
14;2;6.58446e+09;------------;4000 
14;3;6.63656e+09;------------;4000 
14;4;6.51289e+09;------------;4000 
14;5;6.57414e+09;------------;4000 
