thread;rep;throughput;target_string;file_size 
1;1;4.02524e+09;------------;4000 
1;2;3.95316e+09;------------;4000 
1;3;3.97188e+09;------------;4000 
1;4;4.19011e+09;------------;4000 
1;5;4.32402e+09;------------;4000 
1;6;4.02138e+09;------------;4000 
1;7;4.16515e+09;------------;4000 
1;8;4.03298e+09;------------;4000 
1;9;4.02138e+09;------------;4000 
1;10;4.15689e+09;------------;4000 
2;1;8.49049e+09;------------;4000 
2;2;8.57731e+09;------------;4000 
2;3;8.52501e+09;------------;4000 
2;4;8.77469e+09;------------;4000 
2;5;8.38861e+09;------------;4000 
2;6;8.33858e+09;------------;4000 
2;7;8.43924e+09;------------;4000 
2;8;8.22413e+09;------------;4000 
2;9;8.40542e+09;------------;4000 
2;10;8.52501e+09;------------;4000 
3;1;1.25578e+10;------------;4000 
3;2;1.26716e+10;------------;4000 
3;3;1.18149e+10;------------;4000 
3;4;1.0838e+10;------------;4000 
3;5;1.10087e+10;------------;4000 
3;6;1.18483e+10;------------;4000 
3;7;1.29056e+10;------------;4000 
3;8;1.2264e+10;------------;4000 
3;9;1.09227e+10;------------;4000 
3;10;1.11551e+10;------------;4000 
4;1;1.4315e+10;------------;4000 
4;2;1.51968e+10;------------;4000 
4;3;1.54771e+10;------------;4000 
4;4;1.44631e+10;------------;4000 
4;5;1.39346e+10;------------;4000 
4;6;1.60701e+10;------------;4000 
4;7;1.60088e+10;------------;4000 
4;8;1.4315e+10;------------;4000 
4;9;1.46654e+10;------------;4000 
4;10;1.50333e+10;------------;4000 
5;1;1.76975e+10;------------;4000 
5;2;1.67104e+10;------------;4000 
5;3;1.66441e+10;------------;4000 
5;4;1.86414e+10;------------;4000 
5;5;1.68446e+10;------------;4000 
5;6;1.76231e+10;------------;4000 
5;7;1.87246e+10;------------;4000 
5;8;1.88085e+10;------------;4000 
5;9;1.64483e+10;------------;4000 
5;10;1.87246e+10;------------;4000 
6;1;2.18453e+10;------------;4000 
6;2;1.74763e+10;------------;4000 
6;3;1.99729e+10;------------;4000 
6;4;2.09715e+10;------------;4000 
6;5;1.88085e+10;------------;4000 
6;6;1.94181e+10;------------;4000 
6;7;2.05603e+10;------------;4000 
6;8;1.93286e+10;------------;4000 
6;9;1.94181e+10;------------;4000 
6;10;2.00684e+10;------------;4000 
7;1;1.98782e+10;------------;4000 
7;2;2.06616e+10;------------;4000 
7;3;2.18453e+10;------------;4000 
7;4;1.81572e+10;------------;4000 
7;5;2.07639e+10;------------;4000 
7;6;2.17321e+10;------------;4000 
7;7;2.02623e+10;------------;4000 
7;8;1.97845e+10;------------;4000 
7;9;1.88085e+10;------------;4000 
7;10;1.95996e+10;------------;4000 
8;1;2.05603e+10;------------;4000 
8;2;1.98782e+10;------------;4000 
8;3;2.03607e+10;------------;4000 
8;4;2.20753e+10;------------;4000 
8;5;2.09715e+10;------------;4000 
8;6;2.24294e+10;------------;4000 
8;7;2.08672e+10;------------;4000 
8;8;2.10769e+10;------------;4000 
8;9;2.23101e+10;------------;4000 
8;10;2.03607e+10;------------;4000 
9;1;2.34319e+10;------------;4000 
9;2;2.15093e+10;------------;4000 
9;3;1.88933e+10;------------;4000 
9;4;2.33017e+10;------------;4000 
9;5;1.86414e+10;------------;4000 
9;6;2.21921e+10;------------;4000 
9;7;2.23101e+10;------------;4000 
9;8;2.02623e+10;------------;4000 
9;9;2.21921e+10;------------;4000 
9;10;1.98782e+10;------------;4000 
10;1;2.13995e+10;------------;4000 
10;2;2.07639e+10;------------;4000 
10;3;2.13995e+10;------------;4000 
10;4;2.35635e+10;------------;4000 
10;5;1.84771e+10;------------;4000 
10;6;2.05603e+10;------------;4000 
10;7;2.27951e+10;------------;4000 
10;8;1.6981e+10;------------;4000 
10;9;2.20753e+10;------------;4000 
10;10;1.95996e+10;------------;4000 
