stringa cercata;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;32;24;1;3000;136770782608,70
unevenstring;32;24;2;3000;149796571428,57
unevenstring;32;24;3;3000;142987636363,64
unevenstring;32;24;4;3000;142987636363,64
unevenstring;32;24;5;3000;149796571428,57
unevenstring;32;24;6;3000;142987636363,64
unevenstring;32;24;7;3000;142987636363,64
unevenstring;32;24;8;3000;142987636363,64
unevenstring;32;24;9;3000;142987636363,64
unevenstring;32;24;10;3000;142987636363,64
unevenstring;32;24;11;3000;142987636363,64
unevenstring;32;24;12;3000;142987636363,64
unevenstring;32;24;13;3000;136770782608,70
unevenstring;32;24;14;3000;142987636363,64
unevenstring;32;24;15;3000;142987636363,64
unevenstring;32;24;16;3000;142987636363,64
unevenstring;32;24;17;3000;142987636363,64
unevenstring;32;24;18;3000;142987636363,64
unevenstring;32;24;19;3000;142987636363,64
unevenstring;32;24;20;3000;142987636363,64
unevenstring;32;24;21;3000;142987636363,64
unevenstring;32;24;22;3000;142987636363,64
unevenstring;32;24;23;3000;142987636363,64
unevenstring;32;24;24;3000;142987636363,64
unevenstring;32;24;25;3000;142987636363,64
unevenstring;32;24;26;3000;142987636363,64
unevenstring;32;24;27;3000;142987636363,64
unevenstring;32;24;28;3000;142987636363,64
unevenstring;32;24;29;3000;136770782608,70
unevenstring;32;24;30;3000;116508444444,44
unevenstring;64;24;1;3000;149796571428,57
unevenstring;64;24;2;3000;125829120000,00
unevenstring;64;24;3;3000;116508444444,44
unevenstring;64;24;4;3000;120989538461,54
unevenstring;64;24;5;3000;125829120000,00
unevenstring;64;24;6;3000;112347428571,43
unevenstring;64;24;7;3000;125829120000,00
unevenstring;64;24;8;3000;125829120000,00
unevenstring;64;24;9;3000;112347428571,43
unevenstring;64;24;10;3000;131072000000,00
unevenstring;64;24;11;3000;125829120000,00
unevenstring;64;24;12;3000;136770782608,70
unevenstring;64;24;13;3000;149796571428,57
unevenstring;64;24;14;3000;157286400000,00
unevenstring;64;24;15;3000;165564631578,95
unevenstring;64;24;16;3000;157286400000,00
unevenstring;64;24;17;3000;157286400000,00
unevenstring;64;24;18;3000;165564631578,95
unevenstring;64;24;19;3000;165564631578,95
unevenstring;64;24;20;3000;174762666666,67
unevenstring;64;24;21;3000;174762666666,67
unevenstring;64;24;22;3000;174762666666,67
unevenstring;64;24;23;3000;174762666666,67
unevenstring;64;24;24;3000;174762666666,67
unevenstring;64;24;25;3000;174762666666,67
unevenstring;64;24;26;3000;174762666666,67
unevenstring;64;24;27;3000;174762666666,67
unevenstring;64;24;28;3000;174762666666,67
unevenstring;64;24;29;3000;174762666666,67
unevenstring;64;24;30;3000;174762666666,67
unevenstring;96;16;1;3000;174762666666,67
unevenstring;96;16;2;3000;174762666666,67
unevenstring;96;16;3;3000;174762666666,67
unevenstring;96;16;4;3000;174762666666,67
unevenstring;96;16;5;3000;174762666666,67
unevenstring;96;16;6;3000;174762666666,67
unevenstring;96;16;7;3000;174762666666,67
unevenstring;96;16;8;3000;174762666666,67
unevenstring;96;16;9;3000;174762666666,67
unevenstring;96;16;10;3000;174762666666,67
unevenstring;96;16;11;3000;174762666666,67
unevenstring;96;16;12;3000;165564631578,95
unevenstring;96;16;13;3000;157286400000,00
unevenstring;96;16;14;3000;149796571428,57
unevenstring;96;16;15;3000;149796571428,57
unevenstring;96;16;16;3000;149796571428,57
unevenstring;96;16;17;3000;142987636363,64
unevenstring;96;16;18;3000;142987636363,64
unevenstring;96;16;19;3000;142987636363,64
unevenstring;96;16;20;3000;125829120000,00
unevenstring;96;16;21;3000;131072000000,00
unevenstring;96;16;22;3000;136770782608,70
unevenstring;96;16;23;3000;131072000000,00
unevenstring;96;16;24;3000;120989538461,54
unevenstring;96;16;25;3000;136770782608,70
unevenstring;96;16;26;3000;142987636363,64
unevenstring;96;16;27;3000;136770782608,70
unevenstring;96;16;28;3000;142987636363,64
unevenstring;96;16;29;3000;149796571428,57
unevenstring;96;16;30;3000;157286400000,00
unevenstring;128;12;1;3000;165564631578,95
unevenstring;128;12;2;3000;157286400000,00
unevenstring;128;12;3;3000;157286400000,00
unevenstring;128;12;4;3000;165564631578,95
unevenstring;128;12;5;3000;165564631578,95
unevenstring;128;12;6;3000;174762666666,67
unevenstring;128;12;7;3000;174762666666,67
unevenstring;128;12;8;3000;174762666666,67
unevenstring;128;12;9;3000;174762666666,67
unevenstring;128;12;10;3000;174762666666,67
unevenstring;128;12;11;3000;174762666666,67
unevenstring;128;12;12;3000;165564631578,95
unevenstring;128;12;13;3000;174762666666,67
unevenstring;128;12;14;3000;174762666666,67
unevenstring;128;12;15;3000;174762666666,67
unevenstring;128;12;16;3000;174762666666,67
unevenstring;128;12;17;3000;174762666666,67
unevenstring;128;12;18;3000;174762666666,67
unevenstring;128;12;19;3000;174762666666,67
unevenstring;128;12;20;3000;174762666666,67
unevenstring;128;12;21;3000;174762666666,67
unevenstring;128;12;22;3000;174762666666,67
unevenstring;128;12;23;3000;174762666666,67
unevenstring;128;12;24;3000;174762666666,67
unevenstring;128;12;25;3000;174762666666,67
unevenstring;128;12;26;3000;174762666666,67
unevenstring;128;12;27;3000;165564631578,95
unevenstring;128;12;28;3000;157286400000,00
unevenstring;128;12;29;3000;157286400000,00
unevenstring;128;12;30;3000;157286400000,00
unevenstring;160;9;1;3000;142987636363,64
unevenstring;160;9;2;3000;136770782608,70
unevenstring;160;9;3;3000;142987636363,64
unevenstring;160;9;4;3000;142987636363,64
unevenstring;160;9;5;3000;142987636363,64
unevenstring;160;9;6;3000;125829120000,00
unevenstring;160;9;7;3000;131072000000,00
unevenstring;160;9;8;3000;142987636363,64
unevenstring;160;9;9;3000;142987636363,64
unevenstring;160;9;10;3000;131072000000,00
unevenstring;160;9;11;3000;136770782608,70
unevenstring;160;9;12;3000;142987636363,64
unevenstring;160;9;13;3000;149796571428,57
unevenstring;160;9;14;3000;142987636363,64
unevenstring;160;9;15;3000;142987636363,64
unevenstring;160;9;16;3000;149796571428,57
unevenstring;160;9;17;3000;157286400000,00
unevenstring;160;9;18;3000;157286400000,00
unevenstring;160;9;19;3000;165564631578,95
unevenstring;160;9;20;3000;165564631578,95
unevenstring;160;9;21;3000;165564631578,95
unevenstring;160;9;22;3000;165564631578,95
unevenstring;160;9;23;3000;157286400000,00
unevenstring;160;9;24;3000;157286400000,00
unevenstring;160;9;25;3000;165564631578,95
unevenstring;160;9;26;3000;165564631578,95
unevenstring;160;9;27;3000;165564631578,95
unevenstring;160;9;28;3000;165564631578,95
unevenstring;160;9;29;3000;165564631578,95
unevenstring;160;9;30;3000;165564631578,95
unevenstring;192;8;1;3000;174762666666,67
unevenstring;192;8;2;3000;174762666666,67
unevenstring;192;8;3;3000;174762666666,67
unevenstring;192;8;4;3000;174762666666,67
unevenstring;192;8;5;3000;174762666666,67
unevenstring;192;8;6;3000;174762666666,67
unevenstring;192;8;7;3000;174762666666,67
unevenstring;192;8;8;3000;174762666666,67
unevenstring;192;8;9;3000;165564631578,95
unevenstring;192;8;10;3000;165564631578,95
unevenstring;192;8;11;3000;165564631578,95
unevenstring;192;8;12;3000;157286400000,00
unevenstring;192;8;13;3000;157286400000,00
unevenstring;192;8;14;3000;149796571428,57
unevenstring;192;8;15;3000;149796571428,57
unevenstring;192;8;16;3000;149796571428,57
unevenstring;192;8;17;3000;149796571428,57
unevenstring;192;8;18;3000;149796571428,57
unevenstring;192;8;19;3000;149796571428,57
unevenstring;192;8;20;3000;142987636363,64
unevenstring;192;8;21;3000;142987636363,64
unevenstring;192;8;22;3000;142987636363,64
unevenstring;192;8;23;3000;149796571428,57
unevenstring;192;8;24;3000;149796571428,57
unevenstring;192;8;25;3000;149796571428,57
unevenstring;192;8;26;3000;136770782608,70
unevenstring;192;8;27;3000;142987636363,64
unevenstring;192;8;28;3000;149796571428,57
unevenstring;192;8;29;3000;157286400000,00
unevenstring;192;8;30;3000;157286400000,00
unevenstring;224;6;1;3000;149796571428,57
unevenstring;224;6;2;3000;149796571428,57
unevenstring;224;6;3;3000;149796571428,57
unevenstring;224;6;4;3000;157286400000,00
unevenstring;224;6;5;3000;165564631578,95
unevenstring;224;6;6;3000;165564631578,95
unevenstring;224;6;7;3000;165564631578,95
unevenstring;224;6;8;3000;165564631578,95
unevenstring;224;6;9;3000;165564631578,95
unevenstring;224;6;10;3000;165564631578,95
unevenstring;224;6;11;3000;165564631578,95
unevenstring;224;6;12;3000;165564631578,95
unevenstring;224;6;13;3000;165564631578,95
unevenstring;224;6;14;3000;157286400000,00
unevenstring;224;6;15;3000;157286400000,00
unevenstring;224;6;16;3000;165564631578,95
unevenstring;224;6;17;3000;165564631578,95
unevenstring;224;6;18;3000;165564631578,95
unevenstring;224;6;19;3000;165564631578,95
unevenstring;224;6;20;3000;165564631578,95
unevenstring;224;6;21;3000;165564631578,95
unevenstring;224;6;22;3000;165564631578,95
unevenstring;224;6;23;3000;165564631578,95
unevenstring;224;6;24;3000;165564631578,95
unevenstring;224;6;25;3000;157286400000,00
